lgacode21,did_not_go_to_school_indig_f,did_not_go_to_school_indig_m,did_not_go_to_school_non_indig_f,did_not_go_to_school_non_indig_m,did_not_go_to_school_indig_stat_notstated_f,did_not_go_to_school_indig_stat_notstated_m,y8_below_indig_f,y8_below_indig_m,y8_below_non_indig_f,y8_below_non_indig_m,y8_below_indig_stat_notstated_f,y8_below_indig_stat_notstated_m,y9_equivalent_indig_f,y9_equivalent_indig_m,y9_equivalent_non_indig_f,y9_equivalent_non_indig_m,y9_equivalent_indig_stat_notstated_f,y9_equivalent_indig_stat_notstated_m,y10_equivalent_indig_f,y10_equivalent_indig_m,y10_equivalent_non_indig_f,y10_equivalent_non_indig_m,y10_equivalent_indig_stat_notstated_f,y10_equivalent_indig_stat_notstated_m,y11_equivalent_indig_f,y11_equivalent_indig_m,y11_equivalent_non_indig_f,y11_equivalent_non_indig_m,y11_equivalent_indig_stat_notstated_f,y11_equivalent_indig_stat_notstated_m,y12_equivalent_indig_f,y12_equivalent_indig_m,y12_equivalent_non_indig_f,y12_equivalent_non_indig_m,y12_equivalent_indig_stat_notstated_f,y12_equivalent_indig_stat_notstated_m
13910,0,0,40,33,0,0,27,20,312,467,4,10,37,45,581,593,12,17,127,100,2165,2412,18,19,36,30,536,468,9,5,76,77,3008,2259,21,27
14000,0,5,448,355,0,0,9,0,945,702,7,8,8,19,1426,1089,9,5,56,83,7295,6334,24,16,18,29,1799,1874,3,11,166,161,45686,43162,87,99
14100,0,0,16,14,0,0,0,0,106,77,0,0,4,0,110,73,0,0,4,6,607,387,5,3,0,0,136,135,0,0,12,11,4071,3912,12,10
14170,6,7,1166,782,0,3,51,49,2740,2005,15,14,59,49,1158,1179,5,7,169,155,6108,6156,43,30,56,56,1898,2409,11,6,512,432,60249,55385,99,106
14220,9,8,20,32,0,0,45,66,336,438,5,10,89,82,534,566,8,3,190,168,1893,1986,14,16,65,63,392,389,0,3,189,124,2542,1998,18,12
14300,0,0,9,13,0,0,13,5,101,110,3,0,14,15,177,217,3,0,23,41,638,729,5,5,10,8,131,180,0,3,34,23,842,677,6,8
14350,14,0,15,51,5,0,85,97,611,679,13,6,170,162,1036,1130,22,14,404,332,3576,3631,40,48,142,107,610,729,10,4,346,278,3918,3273,32,35
14400,0,0,17,16,0,0,4,8,198,202,3,3,10,14,472,437,6,0,39,54,2408,2203,20,18,9,17,452,525,0,0,97,64,5378,4818,12,22
14500,0,0,259,147,0,0,0,3,481,290,0,8,0,7,716,425,0,0,13,16,3648,2289,22,7,7,8,1277,974,0,8,79,77,41147,38444,86,69
14550,0,0,9,13,0,0,8,16,136,211,5,5,19,18,287,316,7,5,59,49,1097,1232,16,13,18,19,242,257,4,0,47,38,1463,1209,11,13
14600,0,3,11,16,0,0,21,44,61,125,3,0,63,56,132,147,0,0,115,107,501,657,7,11,48,22,120,96,0,0,115,62,831,639,6,8
14650,18,15,252,273,7,7,177,203,2791,2661,49,25,377,375,6623,5807,69,42,1199,1274,25198,24682,156,139,354,370,4709,5596,30,26,1428,1120,39237,34036,135,142
14700,0,0,66,42,0,0,0,0,129,103,0,0,0,3,160,100,0,0,6,5,1067,803,0,3,4,5,382,359,0,0,39,40,13392,12766,28,17
14750,0,0,38,29,0,0,19,16,162,260,0,3,27,24,286,328,0,3,81,97,1292,1398,6,7,31,20,274,273,0,4,73,52,1562,1223,11,7
14850,0,4,57,44,0,0,52,55,569,636,9,8,82,93,994,1084,16,6,252,257,4643,4501,37,33,72,69,1050,1090,3,10,335,282,8534,7414,32,46
14870,0,8,14,21,0,0,36,39,362,392,7,5,58,65,743,656,5,6,146,200,2459,2827,15,37,63,46,497,545,6,5,140,106,3108,2484,14,16
14900,18,9,3248,2360,16,8,92,87,5049,4086,41,25,155,137,3318,3321,21,21,370,313,12373,13850,62,51,136,94,3276,3946,13,23,468,390,52626,49458,129,147
14920,0,0,4,9,0,0,27,37,113,188,6,0,36,55,212,235,4,3,135,128,817,891,10,0,36,32,163,161,0,3,98,81,943,750,3,0
14950,0,0,5,4,0,0,7,4,50,92,0,0,4,6,99,97,4,0,21,14,344,449,5,3,5,3,89,91,0,0,12,10,504,348,3,6
15050,3,12,104,122,0,0,121,103,1128,1084,5,10,228,209,2539,2176,18,24,704,625,10029,10104,44,40,212,215,2177,2482,6,16,746,532,15588,13126,41,43
15240,16,11,94,89,7,9,134,194,1777,2000,29,40,304,285,3837,3716,48,46,742,743,13368,12705,131,134,204,200,2302,2352,20,26,634,538,13896,12071,101,92
15270,0,6,28,35,0,0,26,35,377,481,8,6,42,72,639,730,3,11,189,198,2740,3226,31,36,50,42,538,696,3,9,201,136,4179,3242,24,26
15300,10,7,13,21,0,0,63,81,114,194,4,0,116,111,159,228,5,3,279,254,828,1026,12,6,97,82,208,212,8,3,262,167,1672,1313,14,13
15350,0,3,28,20,0,0,0,0,73,48,0,0,0,4,149,94,3,0,3,3,990,499,0,0,0,0,418,247,0,4,23,25,10226,8737,23,12
15520,0,0,18,13,0,0,19,17,247,339,7,8,22,18,365,511,10,4,52,48,1008,1188,14,13,16,13,792,826,13,6,51,42,2073,1533,11,14
15560,0,0,0,9,0,0,3,13,47,91,0,4,7,12,90,112,0,0,42,46,299,416,3,3,15,16,109,107,4,0,18,14,511,388,0,0
15650,0,0,14,19,0,0,40,48,263,287,6,8,66,52,426,510,0,0,193,199,1804,2045,12,11,56,69,409,495,3,6,166,130,2114,1661,9,7
15700,3,8,21,28,0,0,40,53,353,409,11,5,68,62,715,761,10,7,163,161,2564,2492,28,30,49,42,496,507,6,6,177,145,3083,2530,24,14
15750,5,13,9,14,0,0,41,56,157,276,4,5,80,88,303,390,5,8,189,175,1204,1354,8,17,59,53,248,262,0,0,178,140,1756,1418,18,23
15800,0,6,6,5,0,0,25,33,128,139,3,0,35,37,165,199,0,0,58,73,589,622,5,8,21,20,146,138,0,0,56,52,744,579,0,3
15850,3,9,3,8,0,0,27,48,77,99,4,4,44,56,139,153,3,0,130,131,490,674,0,9,28,37,103,103,0,7,160,86,838,619,0,4
15900,14,17,383,302,5,5,119,131,2001,1725,28,17,234,225,3654,3192,21,22,698,708,14246,14073,89,76,262,257,3003,3626,9,14,1157,998,39859,36675,101,93
15950,0,0,86,63,0,0,0,0,192,125,0,0,0,0,269,212,4,0,10,15,1991,1396,9,9,6,6,860,646,4,3,91,90,26417,23340,43,38
15990,6,6,493,398,5,10,12,17,1630,1302,22,15,18,31,2560,2220,25,10,115,135,15075,13404,65,55,24,43,3943,4163,9,19,350,357,76441,71809,192,163
16100,5,0,12,13,0,0,3,8,77,116,0,4,10,6,134,167,0,3,29,36,607,749,9,4,3,14,108,116,0,0,26,17,847,721,4,13
16150,7,6,65,95,0,0,76,80,588,648,6,3,113,109,918,902,3,9,332,325,4122,4082,19,29,96,93,867,911,0,6,342,257,8372,6756,27,25
16200,6,4,14,18,0,0,35,53,246,292,3,3,55,74,350,376,3,0,218,168,1522,1680,6,14,66,56,307,305,4,0,206,134,2027,1653,11,5
16260,7,6,1293,1018,3,8,22,33,2374,1849,19,18,53,38,2424,1951,13,10,149,176,9579,9120,35,46,55,39,2501,2903,9,7,295,315,77088,76548,110,125
16350,12,17,689,558,3,4,170,181,2930,2727,29,20,318,330,4311,4470,27,31,1037,1080,19838,21454,91,90,331,326,4217,4853,15,28,1395,1031,42528,36933,115,78
16380,3,14,77,75,6,0,73,103,1285,1389,20,19,148,156,2715,2606,29,28,457,431,10709,9657,84,76,159,123,2227,2238,17,16,601,449,16137,13516,78,58
16400,5,13,84,86,0,0,84,113,1038,1130,10,16,170,162,2435,2268,31,24,500,497,9416,9357,63,63,161,156,1914,2155,8,13,516,423,12276,10744,50,44
16490,0,0,109,89,0,0,29,42,660,668,10,5,51,48,708,834,5,4,200,194,3975,4447,5,19,65,72,1128,1265,11,3,350,286,15793,14883,35,45
16550,4,5,421,309,5,3,49,35,1346,1026,18,8,60,43,1130,979,6,9,199,163,5047,4932,31,27,48,43,1495,1712,3,4,437,380,42845,38648,93,76
16610,0,5,27,23,0,0,45,51,458,597,7,9,54,74,724,842,11,11,220,164,2981,3054,16,25,55,50,561,615,7,7,175,149,3073,2360,17,18
16700,6,0,681,466,0,3,5,8,1456,1057,4,3,11,9,1145,913,7,4,52,42,5063,4426,14,10,9,21,1272,1330,8,4,152,129,41613,39364,63,68
16900,8,8,201,173,3,0,64,67,1371,1230,15,10,128,106,2186,1923,24,13,391,399,9308,9356,46,41,115,118,1883,2116,13,8,439,310,12744,10776,44,37
16950,18,15,117,148,4,8,122,163,1802,1884,26,26,275,282,3435,3462,49,32,721,724,13098,12904,89,106,171,188,2468,2735,26,20,726,570,18411,15949,73,101
17000,7,5,24,30,0,0,37,34,269,347,4,3,77,70,621,629,4,3,229,216,2760,3147,18,27,76,62,592,879,8,4,186,171,3598,3215,17,20
17040,0,0,27,39,0,0,7,14,234,334,4,3,8,24,410,450,0,3,49,83,1850,2272,13,19,23,15,492,548,5,3,74,77,4553,4085,23,18
17080,0,0,12,31,0,0,19,27,218,357,4,6,40,40,390,489,9,5,88,76,1618,1857,15,12,40,32,405,431,0,5,96,60,2241,1778,12,8
17100,0,0,308,221,0,0,5,0,522,391,0,5,7,8,299,284,0,0,15,11,1257,1198,7,0,8,5,387,473,0,0,38,43,14314,15316,31,27
17150,6,4,367,335,4,4,28,29,1880,1498,22,10,55,56,3786,2960,30,16,262,321,19584,19109,104,84,73,80,3484,4635,11,18,595,552,58593,53024,132,111
17200,10,23,777,650,7,0,60,66,1183,1043,14,11,101,80,977,1157,7,10,228,245,4330,5290,20,34,79,85,2394,3085,12,13,613,684,74321,80445,128,143
17310,12,13,86,103,3,0,148,204,823,1044,9,13,291,296,1598,1643,16,12,858,838,6401,6497,56,47,264,231,1378,1332,10,11,817,548,10225,8171,31,37
17350,0,0,9,6,0,0,0,9,111,125,4,3,8,12,205,246,7,5,24,11,815,843,8,10,6,3,133,162,4,0,23,15,908,680,9,0
17400,5,0,4,7,0,0,12,10,122,192,0,8,26,29,210,249,0,3,52,48,854,817,10,11,22,17,179,160,0,0,43,26,1020,882,6,10
17420,0,3,451,304,4,0,11,4,1328,974,7,5,16,29,1721,1551,8,9,90,124,10129,9271,32,27,23,34,2145,2482,6,6,218,197,54882,52126,101,83
17550,7,9,111,100,0,3,89,66,1506,1420,26,13,118,135,2432,2298,24,20,464,426,10774,9955,96,91,138,136,2622,2666,16,15,605,482,18723,15976,95,87
17620,4,0,17,40,0,0,15,24,206,289,5,0,38,47,391,449,3,6,106,109,1522,1834,21,20,35,28,339,348,3,4,119,64,2323,1738,12,3
17640,0,0,3,19,0,0,10,3,112,184,3,0,12,8,208,281,6,3,31,32,885,1133,5,6,0,12,217,179,4,3,46,16,1560,1233,9,12
17650,0,0,0,13,0,0,19,22,88,113,0,0,14,24,118,155,0,0,60,49,597,649,3,6,15,16,122,117,0,0,58,44,1159,867,4,9
17750,3,8,235,165,0,0,86,102,824,1014,12,13,147,153,1349,1417,10,18,408,391,6244,6302,46,34,149,140,1549,1722,15,8,559,402,13365,11048,38,42
17850,0,0,3,6,0,0,4,15,45,70,0,3,7,10,81,94,5,0,26,12,310,373,5,0,3,6,63,58,0,0,17,16,501,400,4,7
17900,3,8,10,11,0,0,16,53,68,118,5,4,68,45,96,134,0,0,149,104,266,411,4,6,47,32,70,65,0,4,100,78,556,500,0,0
17950,0,0,0,3,0,0,13,22,27,44,0,4,12,19,58,78,3,0,32,35,197,261,6,0,20,5,38,44,0,0,49,26,398,327,0,0
18020,4,5,5,15,0,3,24,26,149,275,3,0,25,36,220,328,7,0,90,92,973,1047,12,13,40,23,176,165,6,3,101,80,1277,967,9,11
18050,3,0,88,70,0,0,0,0,318,265,0,3,3,0,268,279,5,3,11,22,1660,1566,7,6,8,9,690,779,3,0,76,90,23836,21719,47,32
18100,0,0,6,3,0,0,3,0,54,91,0,0,7,10,119,163,0,0,24,17,440,497,0,7,4,3,92,100,3,0,16,12,542,442,4,3
18200,0,0,3,11,0,0,21,37,109,180,4,4,45,37,150,243,7,4,60,55,501,676,3,9,29,25,366,410,7,0,43,31,1080,826,8,5
18250,0,6,309,174,0,0,0,0,567,383,0,0,0,5,446,329,0,0,7,16,2017,1499,7,12,6,5,707,682,3,0,58,56,25256,23282,44,42
18350,0,0,54,65,0,0,17,25,450,489,3,7,36,49,1095,1049,4,11,120,133,5126,5010,40,29,36,30,1267,1177,13,4,148,133,12235,10493,57,54
18400,4,8,58,56,0,5,29,38,534,672,3,0,59,61,1180,1405,4,10,203,291,5885,7173,30,43,65,82,1148,1407,3,13,320,196,9572,7361,27,36
18450,6,16,849,588,10,13,125,139,3901,3117,37,33,232,185,4902,4349,46,27,622,723,19627,20057,110,133,209,180,3922,4949,10,26,1020,819,46447,42649,107,135
18500,0,0,44,45,0,0,0,5,170,109,0,0,0,0,237,172,0,0,10,9,1317,886,8,9,6,3,589,450,5,0,44,55,19713,17066,51,38
18710,0,4,18,19,0,0,13,19,145,166,0,0,12,12,227,271,0,0,43,46,1298,1374,10,10,10,17,329,369,5,8,65,74,4203,3614,12,15
19399,0,0,0,0,0,0,0,0,0,19,0,0,0,4,15,31,0,0,9,0,77,123,0,3,0,0,34,35,0,0,3,4,215,159,0,0
19499,0,10,30,28,0,0,25,35,79,177,3,6,30,59,170,272,4,0,69,106,694,946,8,9,31,24,191,249,0,3,58,61,1597,1569,13,14
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110,0,0,26,20,0,0,0,7,226,223,0,3,4,5,255,311,5,0,15,14,788,1013,8,5,5,8,784,814,3,11,21,12,2824,2344,15,14
20260,0,0,27,45,0,0,4,5,244,289,6,0,4,5,340,391,9,3,18,75,720,1343,7,20,9,12,760,812,11,15,14,12,2013,1597,13,8
20570,11,8,157,177,0,0,36,56,2004,1755,34,26,62,53,2687,2821,21,25,134,124,6585,7106,44,40,90,87,6122,5738,26,38,292,227,25185,20714,48,58
20660,5,12,499,396,3,6,13,23,2262,1470,27,18,24,21,1745,1720,10,18,46,70,4351,4493,34,21,40,35,4440,4662,10,20,154,141,35925,32359,81,79
20740,0,0,74,80,0,3,6,5,800,698,14,9,13,12,1163,1293,14,15,33,43,2893,3274,28,27,17,26,2501,2647,19,15,70,63,8180,6480,51,56
20830,0,4,86,86,0,3,11,17,1007,1067,22,21,10,24,1457,1802,6,15,69,60,3828,4620,30,25,27,47,3419,3518,25,18,86,56,11518,8558,41,36
20910,0,0,169,130,0,6,0,0,841,533,13,5,0,7,793,627,0,6,16,15,2875,2335,22,14,12,13,3458,2848,18,14,50,57,31588,28697,107,73
21010,0,4,16,22,0,0,3,6,334,350,7,11,8,10,439,482,4,7,18,24,1058,1124,17,13,10,15,990,1026,9,14,45,25,2638,2069,17,14
21110,5,3,453,349,3,0,3,0,1542,907,17,10,8,9,951,776,9,3,7,16,2930,2418,26,8,12,17,3825,3063,13,12,103,141,57351,52305,124,100
21180,4,10,3450,2600,26,16,12,17,7648,5665,35,41,21,29,3413,3344,23,26,57,60,6973,8076,39,31,44,56,5321,6330,16,25,111,108,44414,43856,127,127
21270,0,0,3,0,0,0,0,10,147,196,5,0,0,5,164,251,3,4,8,11,388,511,3,10,6,3,407,473,4,3,10,6,1016,778,11,3
21370,4,7,47,57,6,0,26,49,906,994,17,18,61,40,1209,1579,21,28,85,96,2752,3472,32,36,59,51,2588,2577,24,24,114,82,6339,4538,35,30
21450,3,7,312,271,0,0,23,22,1515,1429,18,15,23,35,2166,2729,14,15,58,64,6186,7717,33,28,52,61,5310,5931,21,26,166,116,25985,21195,79,59
21610,12,13,3595,2982,15,13,47,49,6070,5216,51,32,58,75,5468,6124,26,29,150,166,15011,17727,72,82,95,94,12088,13477,43,42,356,242,84706,77887,179,171
21670,0,0,21,27,0,0,10,8,403,499,4,10,9,14,545,601,8,7,24,21,1148,1233,13,8,10,12,862,836,11,8,28,15,2048,1561,16,10
21750,0,0,61,74,0,0,8,6,499,554,10,9,8,13,582,764,7,12,12,26,1401,1795,15,14,21,24,1332,1505,10,11,40,36,4333,3307,23,19
21830,0,0,21,22,0,3,0,5,380,451,10,12,6,8,441,627,0,10,14,21,973,1324,10,15,15,0,1097,1212,10,12,26,12,2850,2085,28,15
21890,7,9,1385,929,11,10,26,44,4411,3081,35,20,40,36,1670,1616,21,15,86,90,3591,4116,15,23,64,57,3544,4136,14,32,321,260,44674,40563,98,101
22110,6,7,53,56,0,0,43,38,975,1034,20,28,71,71,1473,1789,21,19,125,131,3763,4455,39,42,73,80,2993,3070,24,18,154,132,8721,6652,56,61
22170,0,8,277,237,0,4,26,30,2098,1715,32,30,61,55,2843,3239,23,29,118,111,8040,9152,51,49,94,90,6846,7622,35,31,269,220,31791,26212,99,69
22250,0,0,11,15,0,0,9,7,290,377,12,7,9,18,385,523,5,3,20,24,859,1078,14,15,18,12,782,732,6,8,26,16,1498,1046,8,10
22310,5,0,423,333,0,0,5,0,1755,1171,5,5,5,4,1013,1012,5,3,22,31,3166,3275,25,16,15,24,3602,3537,15,16,82,104,48113,43835,99,75
22410,0,3,34,25,0,0,10,9,463,541,12,8,9,28,575,853,11,13,38,58,1526,1814,17,14,44,33,1473,1512,8,9,58,44,3295,2455,24,6
22490,0,0,23,20,0,0,3,6,253,346,3,4,6,10,484,722,4,6,15,22,1349,2070,13,12,11,17,1433,1692,7,11,61,35,4821,3741,12,10
22620,6,13,337,339,5,3,54,57,2338,2236,29,39,82,80,3027,3342,38,35,204,207,7811,8626,53,48,139,116,6543,6509,39,43,343,278,24773,19758,109,78
22670,4,6,3810,3295,17,21,20,12,5603,4353,31,22,25,28,2715,2604,24,13,52,36,5427,6097,26,31,35,34,3469,4191,15,23,79,79,36272,37803,104,114
22750,6,9,803,753,9,11,64,67,4907,4155,71,62,94,83,5862,5690,50,49,203,345,14375,15845,96,94,171,158,13996,14739,64,55,526,413,63303,53675,190,185
22830,3,13,437,443,5,6,60,78,1528,1608,17,29,112,107,1644,2015,24,27,233,194,4004,4674,37,34,106,107,3505,3814,21,27,275,198,12267,9850,47,39
