lgacode21,pd_gd_gc_indig_f,pd_gd_gc_indig_m,pd_gd_gc_non_indig_f,pd_gd_gc_non_indig_m,pd_gd_gc_indig_stat_notstated_f,pd_gd_gc_indig_stat_notstated_m,bd_indig_f,bd_indig_m,bd_non_indig_f,bd_non_indig_m,bd_indig_stat_notstated_f,bd_indig_stat_notstated_m,adip_dip_indig_f,adip_dip_indig_m,adip_dip_non_indig_f,adip_dip_non_indig_m,adip_dip_indig_stat_notstated_f,adip_dip_indig_stat_notstated_m,ct_iii_iv_indig_f,ct_iii_iv_indig_m,ct_iii_iv_non_indig_f,ct_iii_iv_non_indig_m,ct_iii_iv_indig_stat_notstated_f,ct_iii_iv_indig_stat_notstated_m,ct_i_ii_indig_f,ct_i_ii_indig_m,ct_i_ii_non_indig_f,ct_i_ii_non_indig_m,ct_i_ii_indig_stat_notstated_f,ct_i_ii_indig_stat_notstated_m
12730,3,0,148,72,0,0,14,4,410,207,0,0,8,3,322,196,0,0,20,31,481,835,0,8,0,4,54,24,0,0
12750,19,6,1176,797,4,5,53,22,2209,1542,13,3,73,33,1929,1187,20,0,145,199,2279,4636,18,37,13,11,312,163,4,0
12850,7,3,2535,1953,4,6,29,18,9826,8379,12,14,55,18,6951,5294,10,14,87,83,6197,10714,19,51,8,9,1102,606,0,0
12870,0,0,184,101,0,0,4,4,516,263,0,0,10,0,484,276,4,0,25,43,804,1572,8,3,3,3,95,37,0,0
12900,10,0,146,69,4,0,25,0,445,222,0,0,28,10,295,166,4,0,70,88,453,889,4,4,8,4,68,35,0,0
12930,25,12,7422,6975,15,10,48,28,15370,13766,22,17,59,30,7433,5944,9,9,64,79,4141,8481,11,15,6,5,698,388,0,0
12950,0,0,49,16,0,0,11,5,224,65,0,0,10,8,130,49,0,0,45,43,213,377,6,0,8,0,18,14,0,0
13010,0,6,137,73,0,0,8,6,389,219,0,0,20,7,328,174,3,0,59,43,496,838,0,4,8,7,87,44,6,0
13310,22,4,726,483,0,0,27,14,1510,939,0,4,45,24,1419,885,3,7,107,111,1945,3509,8,17,16,5,205,116,0,0
13340,7,5,208,104,0,0,7,6,586,292,3,0,14,7,450,246,4,0,29,34,650,1193,6,8,3,3,70,45,0,0
13450,3,0,462,299,0,0,17,7,1335,881,0,0,39,12,845,565,3,0,73,111,1276,2491,4,11,9,0,187,70,0,0
13550,10,0,182,102,0,0,19,4,569,311,3,0,48,6,407,201,0,0,141,130,680,1236,0,8,12,8,82,47,0,0
13660,0,0,62,27,0,0,4,0,229,102,0,0,8,0,169,77,0,0,27,28,238,412,4,0,3,0,25,23,0,0
13800,43,18,1780,1006,3,3,85,40,3600,2033,11,5,127,54,3257,1959,8,7,228,277,3841,8617,18,33,21,14,531,189,0,0
13850,0,0,41,10,0,0,0,0,88,62,0,0,4,5,90,52,0,0,11,23,152,247,0,3,0,0,17,12,0,0
13910,3,4,281,173,0,0,15,0,892,449,3,4,26,16,735,380,4,4,47,61,1058,1869,7,10,7,6,143,74,0,0
14000,15,20,10375,10257,7,16,63,41,17986,15538,30,17,36,23,7228,5433,13,14,33,84,3894,7854,10,28,3,8,627,365,0,0
14100,0,3,945,891,3,0,8,0,1622,1568,4,3,3,3,678,405,3,0,0,3,234,477,3,0,0,0,52,28,0,0
14170,82,61,15698,11772,18,14,188,117,25563,21726,44,25,88,60,7617,6441,14,10,107,142,4008,7884,15,22,17,20,642,440,0,0
14220,13,3,214,102,5,0,24,5,717,375,4,0,35,13,581,332,8,0,141,117,1026,1674,3,17,21,9,133,71,5,0
14300,5,0,87,39,0,0,6,0,247,126,4,0,10,4,192,118,0,0,21,29,354,603,3,0,5,0,41,31,0,0
14350,26,10,418,229,0,0,59,24,1185,652,7,5,116,40,1072,567,13,5,238,217,1788,3352,21,40,32,18,231,121,0,0
14400,19,9,1156,814,3,0,34,15,2074,1674,3,5,27,13,1315,910,3,8,21,59,977,2435,3,15,10,4,172,80,0,0
14500,12,18,10367,10646,17,18,28,23,17010,15423,34,23,23,10,5616,3634,16,3,6,23,1641,2930,3,10,0,0,356,203,0,0
14550,5,3,167,110,3,0,9,0,479,277,4,4,14,3,430,229,0,0,22,36,530,904,8,11,9,0,83,48,0,0
14600,5,0,81,45,0,0,18,5,234,101,0,0,24,3,165,77,5,0,55,51,228,425,0,7,12,6,32,16,0,0
14650,106,71,5702,4170,11,8,333,155,13639,9076,36,21,377,207,9622,6617,32,26,861,1068,12545,25050,39,114,120,58,1494,793,6,6
14700,3,9,3556,3356,14,0,19,13,6017,5276,3,6,10,7,1650,1236,0,0,6,5,671,1203,0,0,0,4,118,69,0,0
14750,6,0,129,97,0,0,13,4,463,268,4,0,15,7,318,174,0,0,54,58,605,1125,0,3,6,3,83,40,0,0
14850,43,25,1391,939,5,0,96,53,3101,1995,5,11,88,47,1931,1182,11,4,187,186,2498,4238,9,33,25,23,329,189,3,0
14870,9,0,380,237,0,0,27,11,840,505,4,3,41,22,756,500,4,0,100,140,1173,2479,7,26,17,11,182,95,0,0
14900,30,15,5684,4664,10,6,81,40,14641,11365,29,22,135,49,9711,7319,19,5,223,228,8194,15454,18,55,27,24,1272,617,4,0
14920,0,4,79,45,0,0,26,8,285,132,0,0,26,7,223,114,0,0,74,78,361,675,0,7,6,5,63,32,0,0
14950,0,0,57,20,0,0,0,3,162,52,0,0,7,0,127,79,0,0,13,17,171,354,3,4,0,0,33,22,0,0
15050,57,26,1873,1212,0,0,154,60,4758,2789,10,6,212,86,3787,2581,11,14,533,517,6132,10260,18,34,58,34,674,341,3,5
15240,42,27,1652,1198,9,3,113,65,4263,2719,26,11,222,93,4108,2473,29,14,441,527,5671,11155,47,100,67,49,804,396,14,6
15270,11,6,463,246,4,0,24,12,1249,729,6,4,54,19,962,557,0,4,130,158,1552,3183,11,22,14,6,192,107,0,3
15300,9,0,163,72,0,0,31,9,565,310,0,0,63,21,353,220,3,0,138,134,419,846,3,9,15,18,72,24,0,0
15350,3,9,2419,2228,4,0,3,8,4461,3796,13,10,6,10,1499,804,4,0,4,6,396,694,0,0,0,0,71,34,0,0
15520,3,6,222,97,0,0,5,6,642,330,5,6,13,11,489,312,9,0,21,30,648,1417,0,15,5,0,57,29,5,0
15560,0,0,56,23,0,0,10,5,140,79,0,0,6,5,114,62,4,0,15,17,134,323,0,0,8,0,26,11,0,0
15650,8,0,179,119,0,0,27,9,541,251,0,0,42,16,482,319,5,6,117,142,1037,1947,4,9,21,4,122,70,0,0
15700,10,8,386,220,0,0,33,21,938,595,9,4,44,17,846,447,11,4,100,106,1228,2229,18,15,23,13,189,93,5,4
15750,0,0,161,119,3,0,17,11,529,268,5,3,49,8,354,210,0,3,127,123,643,1071,11,10,16,8,74,37,0,0
15800,0,0,64,46,0,0,9,0,251,111,0,0,14,3,173,93,0,0,40,35,256,480,0,5,9,3,44,26,0,0
15850,5,0,66,30,0,0,26,8,282,130,0,0,30,6,188,94,0,0,82,92,244,528,3,0,8,4,44,23,0,0
15900,97,64,7172,5632,10,12,338,208,15024,11461,33,24,300,139,6889,5126,14,16,560,635,8103,15008,12,60,58,39,1005,648,0,4
15950,17,15,7208,6198,16,7,30,35,11976,10279,7,21,22,9,3329,2341,11,5,14,21,1147,1897,5,3,0,0,187,116,0,0
15990,46,34,13406,11835,14,13,116,82,30049,25382,55,45,80,61,14651,10021,39,23,74,172,7503,18266,23,56,9,7,1292,613,3,3
16100,0,0,98,77,0,0,9,0,276,158,0,0,3,0,188,116,5,0,15,21,256,657,6,4,6,0,35,20,0,0
16150,15,10,1283,945,5,3,51,28,3014,1883,11,0,98,42,1776,1125,3,3,229,234,2396,3929,0,16,20,22,290,158,4,0
16200,10,0,188,129,0,0,39,4,620,323,0,0,36,18,431,259,5,0,130,131,832,1354,0,5,15,16,97,46,0,0
16260,27,31,18039,17763,26,22,58,54,29293,27456,41,28,74,63,10645,9262,14,20,106,140,5897,11309,3,37,24,9,938,598,0,0
16350,105,48,5298,3939,9,0,255,103,11860,7982,33,14,372,166,8709,5928,21,12,715,888,11521,20793,26,83,106,45,1417,730,0,0
16380,48,11,2107,1528,4,0,124,53,5175,3287,23,6,186,89,4160,2599,21,11,362,404,5415,9702,32,68,61,18,707,337,7,6
16400,45,13,1466,1072,9,5,104,38,3505,2298,8,4,159,81,3375,2391,9,8,353,420,4713,9221,19,52,46,30,601,292,6,0
16490,45,29,3044,2864,5,6,92,45,4769,3435,10,5,89,51,2866,2314,4,6,122,184,2852,5617,9,22,25,9,346,213,0,0
16550,61,40,9560,8119,18,13,114,65,17422,13727,26,17,67,45,5974,4088,9,4,103,171,2947,7193,16,26,21,7,456,274,6,0
16610,13,4,278,171,0,3,29,19,878,447,8,5,55,20,785,373,10,5,135,131,1483,2332,9,16,17,16,173,96,0,0
16700,21,15,9922,8949,4,6,31,34,16439,14740,11,19,28,19,5644,4523,15,6,34,41,2924,5847,3,22,4,3,481,267,0,0
16900,40,12,1456,948,3,5,88,32,3611,2179,6,0,150,58,3419,2262,12,3,278,329,5095,9223,15,36,27,27,601,267,4,0
16950,60,28,2841,1845,3,6,167,81,5631,3725,17,9,223,101,4789,3106,23,19,428,579,6349,13085,32,92,56,40,850,404,4,3
17000,7,3,345,235,0,0,27,5,992,649,0,6,57,27,808,601,3,0,153,208,1725,3213,9,17,21,16,176,109,0,0
17040,6,13,604,426,3,0,24,7,1387,985,6,6,18,17,936,613,0,0,36,77,1192,2579,8,17,3,0,154,84,0,0
17080,9,0,257,131,3,0,13,3,640,392,0,0,24,9,516,287,3,0,62,58,817,1620,7,3,3,3,111,52,3,0
17100,3,0,2887,3291,0,9,9,7,5525,5588,14,3,12,6,1928,1930,9,3,9,21,880,1551,5,5,0,5,127,76,0,0
17150,84,61,8972,7155,24,13,157,96,20523,15622,30,15,161,116,12802,9163,28,18,174,351,9222,23372,27,70,21,14,1358,630,0,0
17200,92,85,18466,18501,28,24,186,173,32287,32934,50,35,111,103,9172,9308,12,22,171,201,3731,7512,15,30,21,16,573,491,0,0
17310,39,24,1331,778,4,5,145,45,3312,1848,4,3,229,83,2297,1340,6,3,546,578,3506,5962,17,38,67,43,468,223,0,0
17350,0,0,84,39,0,0,4,0,291,142,0,0,5,0,203,94,0,0,14,14,344,662,3,0,4,3,64,31,0,0
17400,4,0,107,79,0,0,11,4,313,171,0,0,6,7,250,167,0,0,12,21,364,662,8,4,8,0,64,33,0,0
17420,16,31,11080,11051,12,16,60,31,20835,18013,28,23,53,34,9097,6999,17,5,59,120,5251,11323,9,24,15,3,819,392,0,0
17550,70,27,2467,1595,0,9,148,73,6102,3868,26,11,181,62,4700,2890,24,14,317,384,5256,10204,27,72,36,18,636,320,5,0
17620,3,0,204,105,0,0,18,0,706,353,0,0,24,4,507,291,0,3,62,90,878,1612,8,14,12,8,105,50,0,0
17640,3,4,201,126,0,0,10,3,472,286,0,4,11,4,384,241,0,0,21,25,455,935,5,11,5,0,70,37,0,0
17650,4,8,204,136,0,0,9,6,403,208,5,5,15,6,269,158,3,3,34,40,309,588,4,6,5,6,41,35,0,0
17750,43,15,1792,1304,8,0,116,46,4535,2653,3,3,144,61,2596,1639,10,3,262,324,3728,6718,14,34,38,34,466,280,3,0
17850,0,0,50,24,0,0,4,0,141,91,0,0,8,4,112,72,0,3,14,14,150,297,4,0,3,0,32,15,5,0
17900,3,0,48,18,0,0,26,5,196,85,0,0,20,22,127,103,0,0,56,45,146,326,0,0,17,5,29,19,0,0
17950,0,0,36,19,0,0,0,0,127,54,0,0,5,3,93,49,0,0,16,19,68,174,0,0,3,4,8,13,0,0
18020,5,0,126,66,0,0,10,9,382,186,7,0,25,10,299,161,9,4,63,56,423,784,5,7,10,9,87,40,0,0
18050,13,10,5025,4385,4,5,28,24,11094,9428,25,12,11,9,3101,2166,10,0,6,24,1157,2725,3,7,0,0,211,112,0,0
18100,3,0,63,13,0,0,0,4,169,87,0,4,8,6,143,81,3,0,8,11,190,362,0,6,0,0,30,15,0,0
18200,4,0,106,41,0,0,3,8,340,160,0,0,11,6,280,172,0,0,27,29,328,714,0,5,9,4,50,29,0,0
18250,10,10,6366,5853,6,4,19,25,10563,9711,14,15,14,4,3328,2289,9,6,6,18,1096,2001,0,4,0,0,217,113,0,0
18350,18,11,2111,1774,12,7,27,18,4158,3043,20,9,39,15,2923,1798,9,5,80,111,2450,5259,12,22,14,0,373,174,0,4
18400,27,11,1182,635,0,4,78,15,2671,1401,5,4,96,45,2443,1441,10,3,148,266,3115,7285,10,35,17,0,414,150,3,3
18450,111,56,8490,6876,6,16,249,133,15490,11849,31,17,256,140,9179,6825,21,18,466,605,10730,21568,30,97,68,37,1418,722,6,5
18500,9,8,4369,4124,5,4,21,17,8966,7601,13,12,0,4,2335,1434,9,0,6,11,736,1233,4,3,0,0,129,67,0,0
18710,7,8,809,622,0,0,13,17,1387,902,4,3,14,11,783,593,4,6,28,48,797,1605,8,6,8,0,103,50,0,0
19399,0,0,19,9,0,0,0,0,54,38,0,0,0,0,48,25,0,0,0,3,55,118,0,0,0,0,8,3,0,0
19499,5,0,252,180,0,0,17,10,527,414,4,5,16,7,321,265,5,0,37,69,426,786,4,11,6,8,65,41,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110,3,0,476,305,0,0,4,0,917,623,4,0,3,0,670,439,3,8,9,13,679,1499,0,8,0,0,87,55,0,0
20260,0,0,249,124,0,0,0,6,563,326,3,0,0,7,559,319,4,5,8,12,612,1147,6,8,4,0,74,45,0,0
20570,27,15,4498,3082,3,6,60,30,8037,5628,19,11,75,35,4926,3410,10,5,125,161,6255,10416,16,36,17,12,702,437,3,0
20660,17,16,8301,6483,14,7,50,22,13394,10901,26,23,33,26,5534,4675,14,14,44,89,3891,8645,12,41,4,5,452,299,0,0
20740,12,6,1238,788,3,8,13,4,2494,1569,10,7,21,11,2078,1344,13,9,39,51,2142,4670,15,41,7,3,296,133,0,4
20830,7,3,1614,923,0,4,20,8,3300,1937,10,5,29,8,2797,1667,10,7,46,73,3560,6756,10,26,0,4,411,174,6,0
20910,8,7,6720,5914,13,14,20,14,12667,11333,32,29,18,13,5078,3696,18,10,7,20,2044,4175,15,21,0,0,298,153,0,0
21010,4,0,355,218,0,0,5,0,727,391,0,4,8,6,704,460,5,4,22,27,850,1597,10,12,3,0,119,55,0,0
21110,21,18,14599,13268,19,17,38,37,24101,21466,37,40,9,20,7113,5199,39,11,17,28,2633,4744,5,16,0,5,400,265,4,0
21180,20,5,4837,4203,12,3,23,16,12294,10411,21,14,23,17,7127,6003,20,16,47,78,6706,12564,17,41,7,4,918,649,4,0
21270,3,0,100,43,0,0,0,0,300,148,6,0,3,3,241,120,0,0,12,11,301,669,0,9,0,0,38,16,0,0
21370,10,5,673,324,0,0,18,7,1832,904,7,0,44,12,1590,876,6,8,73,90,2229,4368,3,28,4,12,237,114,4,6
21450,14,6,3514,2275,13,0,18,9,7058,4557,25,13,36,26,5956,4062,11,10,83,86,6696,12402,15,41,8,3,698,368,0,0
21610,26,6,11289,8950,19,7,65,24,23515,18010,28,25,91,46,17181,14205,30,30,151,201,16241,29025,42,88,19,16,1810,1213,5,5
21670,0,0,186,94,0,0,0,7,498,264,3,0,4,4,515,247,0,4,16,22,789,1525,8,8,4,0,116,62,0,0
21750,3,0,559,287,0,0,7,4,1214,685,6,3,7,5,971,615,6,5,20,25,1359,2411,9,18,0,4,121,83,0,0
21830,4,0,306,157,0,0,4,0,834,426,0,0,3,4,676,379,10,0,13,16,852,1724,9,13,0,0,101,62,0,0
21890,46,21,11310,7984,8,8,101,54,16508,13948,27,27,59,35,5944,5036,12,11,106,110,4062,7814,14,39,20,13,476,372,0,0
22110,12,4,1156,661,5,0,22,12,2400,1375,11,10,52,23,2315,1502,18,10,111,133,2717,5535,22,49,3,4,354,174,0,0
22170,20,9,4131,2352,7,0,56,27,8884,5678,17,9,77,41,7555,4983,19,12,131,165,7898,14917,35,70,13,4,841,462,0,0
22250,0,0,157,60,0,0,6,0,390,199,3,0,5,5,389,205,0,0,20,19,600,1157,8,11,0,0,72,31,0,0
22310,11,10,11234,9438,13,9,30,31,19323,16805,26,18,25,15,6636,5166,16,12,18,40,3393,6444,7,20,4,0,442,267,0,0
22410,9,3,377,167,5,4,12,3,843,470,3,0,25,14,847,439,9,0,41,40,1269,2303,8,7,5,0,152,74,0,0
22490,7,0,683,357,0,0,11,9,1404,752,0,5,18,7,1205,789,3,0,28,27,1507,3271,5,15,0,0,173,83,0,0
22620,38,12,4022,2441,5,0,57,35,7911,4935,17,7,103,56,5212,3602,22,14,191,241,6893,12313,23,56,24,12,824,446,0,0
22670,4,8,4607,4232,7,0,6,8,9718,8966,20,9,27,10,5784,5482,19,11,41,53,4793,8775,11,41,13,4,628,528,5,0
22750,74,33,10378,7718,20,13,114,85,20823,14827,34,29,132,72,13249,9486,38,27,243,284,14349,25522,44,101,21,16,1410,874,6,6
22830,26,9,1646,1005,5,3,52,9,3419,1969,4,5,90,35,2870,1728,16,4,169,179,3321,6155,19,37,24,9,377,242,4,0
22910,7,3,782,569,4,5,0,8,1291,850,7,6,4,3,870,640,4,4,13,17,790,1591,4,17,0,0,88,56,0,4
22980,3,0,102,44,0,0,0,0,280,117,0,0,8,3,229,111,0,0,5,6,314,585,5,3,0,0,39,32,0,0
23110,17,16,4806,3508,11,13,35,21,8495,6737,13,8,18,17,3878,3185,10,5,26,56,2926,6674,7,24,6,5,346,227,0,0
23190,3,0,504,276,3,0,9,8,1117,568,0,0,12,7,959,578,3,0,19,27,1220,2193,8,10,8,3,137,71,0,0
23270,22,15,7154,5556,9,8,37,14,14347,11088,25,19,62,44,10199,8562,14,16,116,159,9726,17176,21,65,13,14,1136,837,0,0
23350,7,3,740,366,6,0,13,0,1263,735,3,3,15,3,873,568,0,0,17,16,951,2005,3,14,4,0,104,64,0,0
23430,15,13,7833,5745,3,7,42,25,15088,11946,18,15,40,26,7980,6247,16,10,55,62,5592,12055,20,43,4,6,691,388,3,0
23670,21,11,6666,5473,6,4,32,14,13563,11083,13,15,49,17,8150,6163,21,12,72,106,6777,13905,16,53,7,4,737,492,0,5
23810,17,12,1588,854,4,3,24,16,3417,2031,3,14,42,28,3103,1874,12,16,127,130,4855,9479,34,62,12,3,528,290,9,4
23940,0,0,132,51,0,0,4,0,354,164,0,0,3,3,305,168,0,0,10,12,355,853,6,12,0,5,58,20,0,0
24130,14,5,2433,1548,10,6,16,11,4110,2867,8,6,17,15,2514,1892,10,4,32,58,2131,5164,12,23,0,3,243,132,5,0
24210,10,6,7145,6718,12,4,13,11,13718,12222,27,23,6,3,5885,4711,3,4,14,27,3029,6446,16,30,0,0,405,243,0,0
24250,0,0,328,170,3,0,4,3,628,390,5,0,9,0,561,320,3,0,5,20,473,1291,0,8,0,0,63,29,0,0
24330,35,30,5934,4870,4,5,38,40,9615,8755,10,9,21,22,3251,3066,11,4,35,59,2352,4119,11,12,6,3,274,266,0,0
24410,18,13,5630,4234,8,9,31,21,10402,7879,20,8,40,8,5899,4492,12,14,46,88,4741,9620,13,28,9,0,502,315,0,0
24600,33,51,15877,14086,15,13,58,71,23107,22194,33,23,30,33,5868,5646,8,5,45,56,2729,4104,5,15,7,8,324,340,5,0
24650,23,8,5275,3843,8,9,42,25,11563,8482,13,11,77,35,7345,6005,15,10,131,143,7812,13588,19,41,16,7,841,569,0,0
24780,25,13,1035,619,5,0,51,13,2706,1431,8,9,78,35,2168,1334,15,4,158,162,3098,5278,30,37,11,19,402,227,0,0
24850,23,3,1194,680,4,0,23,8,2370,1365,10,3,48,18,2313,1511,10,5,68,83,2772,5594,11,20,10,8,319,183,0,0
24900,4,4,496,197,3,0,7,5,1274,621,7,4,24,11,1249,718,3,7,42,80,1715,3343,10,28,3,3,198,112,4,0
24970,21,10,12664,13104,15,18,26,25,20791,19481,29,21,23,21,8026,7161,16,14,36,42,4215,8475,16,32,6,4,574,350,0,0
25060,17,9,7356,5730,9,10,41,23,13170,11088,20,18,12,27,5185,4362,10,7,30,55,3422,7669,15,27,9,8,442,273,0,0
25150,3,0,1215,640,5,0,19,11,2183,1279,4,0,21,8,1841,1205,5,6,32,62,2112,4320,7,20,0,4,213,116,0,0
25250,71,35,13328,9834,16,15,80,53,19497,16502,26,26,55,26,6687,5951,15,9,64,84,4508,9314,12,32,7,4,548,353,0,0
25340,22,13,5622,3787,19,9,52,24,12134,8602,39,30,63,40,9334,6413,41,25,101,176,8104,17558,49,91,14,15,942,479,0,0
25430,13,6,1296,784,4,3,10,4,1675,1192,6,4,7,4,1018,724,4,3,14,17,785,1766,3,10,0,5,97,70,0,0
25490,7,4,499,222,0,0,9,0,1102,624,6,0,7,7,847,486,4,3,28,19,918,1838,4,4,0,0,132,66,0,0
25620,0,0,402,246,0,0,4,6,841,484,0,0,16,0,812,505,3,5,19,26,818,2008,10,13,0,0,98,42,0,0
25710,7,11,3411,2478,4,4,22,11,6039,4476,10,16,21,8,3136,2547,6,11,19,37,2244,6097,7,23,0,6,270,163,0,0
25810,0,3,211,132,3,0,7,4,553,305,0,0,3,4,509,292,0,3,9,17,702,1257,0,4,3,0,73,62,0,0
25900,27,18,9213,7154,14,13,38,49,14809,12815,17,17,22,28,4863,4047,4,12,38,34,2514,4491,8,20,6,4,296,226,0,0
25990,0,0,162,88,0,0,4,0,357,179,0,0,3,0,332,190,3,0,14,9,399,852,4,10,0,0,57,21,3,0
26080,5,0,224,179,0,0,0,0,408,322,7,3,3,0,214,147,0,0,0,0,90,222,3,5,0,0,11,6,0,0
26170,4,6,882,465,3,5,8,3,1780,1041,10,7,17,8,1445,849,10,5,23,33,1659,3556,9,25,5,3,220,116,0,0
