lgacode16,pd_gd_gc_indig_f,pd_gd_gc_indig_m,pd_gd_gc_non_indig_f,pd_gd_gc_non_indig_m,pd_gd_gc_indig_stat_notstated_f,pd_gd_gc_indig_stat_notstated_m,bd_indig_f,bd_indig_m,bd_non_indig_f,bd_non_indig_m,bd_indig_stat_notstated_f,bd_indig_stat_notstated_m,adip_dip_indig_f,adip_dip_indig_m,adip_dip_non_indig_f,adip_dip_non_indig_m,adip_dip_indig_stat_notstated_f,adip_dip_indig_stat_notstated_m,ct_iii_iv_indig_f,ct_iii_iv_indig_m,ct_iii_iv_non_indig_f,ct_iii_iv_non_indig_m,ct_iii_iv_indig_stat_notstated_f,ct_iii_iv_indig_stat_notstated_m,ct_i_ii_indig_f,ct_i_ii_indig_m,ct_i_ii_non_indig_f,ct_i_ii_non_indig_m,ct_i_ii_indig_stat_notstated_f,ct_i_ii_indig_stat_notstated_m
14650,57,31,3778,3069,8,9,186,95,10701,7186,41,16,220,124,8274,5809,43,21,466,684,10092,23438,48,141,64,36,1407,609,7,0
14700,0,0,2701,2621,4,10,8,9,4972,4403,8,11,3,3,1583,1157,6,4,5,4,609,1170,0,8,0,0,101,55,0,0
14750,0,0,97,75,0,0,5,3,405,244,10,0,8,3,292,175,0,0,24,46,472,1064,5,9,3,0,90,42,0,0
14850,25,10,980,671,4,6,70,37,2681,1709,18,5,68,33,1726,1030,17,11,123,144,2254,4176,17,28,33,23,333,212,0,3
14870,3,3,242,161,0,3,18,9,680,385,13,3,27,15,666,432,5,3,64,91,986,2428,7,26,7,10,186,83,0,0
14900,17,8,3367,2848,7,7,63,27,10562,7921,39,14,97,29,7936,6050,33,16,127,160,6909,14718,47,73,27,7,1169,590,14,3
14920,3,0,62,30,0,0,10,5,250,116,3,0,22,6,227,130,3,3,37,46,314,666,6,9,14,10,56,31,0,0
14950,0,0,42,17,0,0,0,0,128,54,0,0,0,0,107,66,0,0,7,6,145,340,0,4,0,0,28,14,0,0
15050,29,11,1169,830,0,3,82,36,3478,2039,16,4,108,46,3012,2032,16,9,254,309,4425,8816,29,58,44,23,642,257,3,0
15240,19,21,1083,854,8,3,79,37,3252,2148,23,7,144,56,3649,2110,33,17,288,360,4484,10243,57,110,50,33,766,378,9,6
15270,3,0,301,170,0,0,18,10,992,581,7,8,34,12,808,444,3,7,71,119,1165,2724,15,37,18,4,186,104,0,3
15300,4,3,141,71,0,0,21,14,510,275,3,3,45,7,381,217,5,0,128,126,402,964,3,15,15,13,72,28,0,0
15350,6,0,2089,1932,6,5,7,3,3908,3472,18,11,3,6,1452,836,7,5,4,5,386,680,3,0,0,0,92,26,0,0
15520,6,0,136,62,3,0,7,0,497,258,0,0,9,6,429,258,0,0,15,21,480,1225,5,15,4,0,71,25,0,0
15560,3,0,37,16,0,0,0,0,144,79,0,0,3,3,113,69,0,0,18,15,133,336,0,5,3,0,24,9,0,0
15650,6,4,128,101,0,0,14,3,459,266,0,0,20,9,430,307,0,0,68,86,851,1804,6,19,12,7,132,59,0,0
15700,0,0,251,165,0,0,15,15,724,491,9,9,28,9,742,389,6,5,69,84,991,2086,20,27,24,6,151,86,4,0
15750,3,0,120,99,0,0,13,5,502,274,7,0,19,8,365,193,3,0,69,80,541,1097,11,14,14,4,77,38,0,0
15800,0,0,53,33,0,0,6,3,217,87,0,0,9,8,182,83,0,0,15,24,229,494,0,0,4,0,43,30,0,0
15850,5,0,49,27,0,0,29,0,262,101,0,0,34,4,171,109,4,0,60,67,252,538,0,4,15,9,35,24,0,0
15900,54,41,4826,4092,21,25,211,125,11888,8936,38,24,180,99,6317,4612,35,17,352,407,6877,14626,24,85,70,35,873,556,8,3
15950,12,14,5880,5241,15,11,32,27,10903,9466,22,14,7,7,3397,2351,16,3,6,11,1116,1897,3,9,0,0,204,100,0,0
15990,28,24,10096,9350,29,24,76,44,24627,21192,87,80,76,49,14038,9553,63,52,55,137,7256,18265,43,106,3,3,1096,613,10,0
16100,0,0,71,50,0,0,3,0,199,101,0,0,0,0,172,112,0,0,9,11,193,588,0,5,0,4,50,23,0,0
16150,9,7,867,678,3,3,41,20,2384,1499,13,9,69,22,1599,967,8,8,145,153,2041,3676,16,23,23,9,269,165,3,3
16200,3,0,137,104,3,0,16,4,535,293,0,0,31,7,435,238,3,0,86,104,719,1371,5,12,17,3,117,59,0,0
16260,18,21,12174,12603,45,11,43,31,22594,20992,50,48,53,33,9180,7753,40,29,72,102,5111,11080,26,62,13,13,825,444,6,0
16350,53,33,3306,2567,11,10,159,74,8664,5787,37,17,211,120,7528,5087,38,26,434,515,9778,19395,46,108,71,35,1322,570,9,0
16380,19,11,1305,1010,10,3,56,27,3716,2593,21,10,112,54,3592,2169,32,17,214,278,4165,8676,35,70,31,29,651,294,3,6
16400,15,11,894,747,8,4,61,26,2739,1769,13,14,85,43,2908,2007,23,7,205,253,3794,8630,31,62,38,16,539,268,7,0
16490,22,17,1978,1955,7,11,53,25,3667,2583,19,14,62,37,2452,1921,8,12,106,111,2232,5054,15,44,20,7,345,161,3,0
16550,33,21,8016,7156,20,12,85,32,16196,13194,50,44,42,33,5786,4004,28,14,85,145,2868,7259,15,47,22,10,440,240,3,0
16610,4,8,164,121,3,5,24,3,678,354,8,3,32,7,713,339,3,0,69,85,1220,2308,13,25,19,8,195,91,3,4
16650,18,8,4044,3792,9,11,31,20,9283,8203,24,24,34,28,4777,4005,20,15,37,67,2948,6348,18,40,5,0,480,253,0,4
16700,13,6,7037,6505,10,20,23,15,13029,11622,25,30,22,13,5174,3991,28,17,17,34,2621,5759,9,28,11,0,428,242,3,3
16900,19,7,897,607,5,3,48,16,2542,1564,11,11,104,54,2679,1855,12,7,156,179,3970,8148,18,48,24,14,534,228,3,3
16950,36,23,1764,1261,11,5,105,46,4056,2728,22,15,162,71,4061,2708,34,19,282,367,5078,12105,47,89,54,45,792,347,6,3
17000,5,0,271,191,0,0,14,3,870,545,5,0,28,10,727,522,5,5,68,121,1314,2940,13,23,4,4,200,82,3,0
17040,8,5,379,296,4,0,8,3,1069,705,5,3,13,12,843,535,8,3,23,45,988,2441,7,29,7,3,168,83,4,0
17080,3,0,146,96,0,0,12,3,523,338,3,0,18,3,525,278,4,3,32,35,665,1485,3,15,5,3,121,42,0,0
17100,0,0,1966,2290,5,4,3,4,4298,4359,11,17,3,4,1505,1281,12,7,7,6,742,1413,6,10,0,0,140,61,0,0
17150,49,20,6442,5583,11,15,100,63,16505,12672,61,38,109,84,11764,8581,63,31,126,257,8242,22955,44,113,9,8,1225,569,5,0
17200,48,51,14162,14047,53,45,126,130,28790,27961,102,90,83,65,8098,8066,41,48,106,132,3352,7174,22,39,21,14,483,412,0,0
17310,19,7,892,573,9,0,102,28,2715,1565,15,4,154,63,2187,1292,14,6,301,393,2929,5705,32,68,63,25,487,191,3,7
17350,0,0,68,31,0,0,0,0,257,131,3,3,7,5,181,98,3,0,13,16,274,626,0,10,0,0,46,29,0,0
17400,4,0,76,47,0,0,10,4,245,137,0,0,4,5,230,138,3,0,15,25,309,622,6,5,6,6,60,38,0,0
17420,13,7,6444,6959,17,13,36,11,14964,12871,42,33,30,25,7812,5874,33,21,37,80,4356,10462,17,66,4,3,728,296,3,3
17550,38,15,1520,1101,8,4,106,55,4463,2866,22,10,126,49,4073,2428,27,18,200,293,4428,9836,35,81,19,16,560,276,3,0
17620,3,0,146,95,0,0,10,3,602,291,3,3,22,7,477,268,5,10,47,64,692,1519,6,20,9,0,101,36,0,0
17640,4,0,137,97,0,3,3,0,335,192,3,3,3,0,347,194,0,0,4,20,363,840,4,13,0,0,67,26,0,3
17650,5,4,148,121,0,0,3,0,341,177,3,0,3,3,264,159,3,0,18,26,287,587,3,5,12,3,43,32,0,0
17750,18,8,1214,998,0,0,77,31,3736,2192,16,11,92,40,2249,1434,9,4,192,213,3309,6360,15,48,25,21,462,272,5,0
17850,4,0,38,26,0,0,0,0,134,76,0,0,0,3,115,71,0,0,9,13,116,283,4,3,0,0,26,9,0,0
17900,10,0,57,22,0,0,19,6,210,92,0,0,26,15,141,116,4,0,55,57,146,374,0,9,10,6,22,21,0,0
17950,0,0,20,13,0,0,3,0,122,59,3,4,5,0,92,37,0,0,11,12,71,209,0,3,4,0,16,7,0,0
18020,4,0,105,57,0,0,12,0,360,182,3,0,15,12,271,148,3,0,42,50,365,795,3,3,10,10,65,47,0,3
18050,5,3,3945,3584,16,6,16,30,9330,7991,30,24,6,4,3073,2088,17,19,17,22,1143,2666,6,14,0,0,154,95,0,0
18100,0,0,43,18,0,0,0,0,158,70,0,0,4,3,128,68,0,0,5,11,167,337,0,5,0,0,39,15,0,0
18200,5,0,76,31,3,0,12,0,253,129,0,3,10,5,214,134,3,0,29,19,293,678,8,7,4,6,39,25,0,0
18230,19,14,793,542,3,0,128,35,2513,1357,25,11,192,71,1640,931,11,6,390,464,2330,4562,29,61,85,25,353,139,12,6
18250,7,9,5095,4890,13,15,7,10,9692,8868,25,16,7,3,3262,2251,11,7,3,12,1117,1997,6,10,0,0,210,98,0,0
18350,14,4,1377,1221,6,3,24,15,3060,2256,22,11,34,23,2497,1493,13,4,73,80,2092,4775,11,34,7,3,338,133,3,0
18400,18,9,856,513,7,3,43,17,2083,1203,15,5,61,26,2145,1232,18,6,85,127,2489,6361,24,56,16,6,362,140,6,3
18450,74,38,5966,5134,16,11,163,68,12101,9620,67,33,179,107,8447,6185,43,28,295,393,9084,20492,58,146,47,30,1354,657,14,3
18500,8,0,3664,3540,11,9,20,11,8108,6963,33,29,3,0,2413,1402,11,11,4,6,728,1324,5,3,0,0,114,72,0,0
18710,5,3,596,459,3,0,12,5,1154,745,7,8,7,5,656,519,6,3,17,27,621,1473,5,6,3,3,82,44,3,0
19399,0,0,12,8,0,0,0,0,50,25,0,0,3,0,37,25,0,0,0,0,55,121,5,3,0,0,7,5,0,0
19499,0,4,247,238,0,0,14,0,659,565,7,10,11,3,360,290,0,3,17,45,332,999,3,10,7,8,57,61,0,0
19799,0,0,3,3,0,0,0,0,25,11,0,0,0,0,20,13,0,0,0,0,18,36,0,0,0,0,3,0,0,0
20110,3,0,295,177,3,0,0,0,696,412,3,4,5,0,593,377,8,0,3,11,557,1398,3,16,0,3,85,39,0,0
20260,0,0,173,79,0,0,0,0,483,255,5,3,0,0,459,301,9,3,3,6,520,1073,10,13,0,0,62,46,0,0
20570,11,3,2891,2091,12,12,35,13,6225,4232,34,14,30,25,4060,2818,26,10,80,85,5058,9317,30,86,20,14,692,316,3,3
20660,15,5,6109,5061,25,18,23,18,11242,9197,44,25,27,17,5294,4285,31,20,43,55,3665,9012,22,67,3,7,445,256,0,0
20740,4,3,680,420,5,3,3,4,1538,966,16,3,15,6,1515,901,14,11,15,27,1548,3763,21,45,3,0,212,99,3,0
20830,10,0,1032,634,5,8,16,0,2355,1371,18,9,14,10,2180,1279,13,10,15,34,2644,5662,10,31,3,4,346,133,0,0
20910,10,10,5279,4755,20,11,10,8,10799,9770,47,26,8,8,4755,3554,37,25,10,15,2002,4184,13,22,3,0,299,157,3,3
21010,3,0,255,139,0,4,9,0,593,335,4,0,8,3,618,417,3,3,17,9,692,1510,8,17,4,3,121,43,3,3
21110,6,11,11741,11252,34,32,24,22,22017,19678,71,76,15,14,7027,5052,39,18,10,20,2657,5062,11,28,3,0,397,225,7,0
21180,5,0,3254,2829,20,7,19,13,10382,8683,54,36,21,20,6647,5887,59,46,48,60,6331,13170,47,126,5,7,860,580,6,3
21270,4,0,87,35,0,0,0,0,262,114,5,0,3,0,204,111,0,0,0,3,262,618,3,8,0,0,48,21,0,0
21370,3,4,496,234,0,0,10,0,1462,750,6,4,32,14,1382,753,22,3,35,68,1860,4072,11,44,4,4,252,108,4,0
21450,6,0,1719,1136,10,0,20,4,4396,2664,17,13,36,23,4415,2743,13,15,42,67,5254,10615,31,71,7,0,621,258,6,0
21610,10,12,6057,5133,13,7,31,17,15354,11570,77,30,52,35,13255,10221,81,53,100,126,13300,26465,81,191,14,8,1589,895,7,5
21670,0,0,118,92,0,0,4,0,397,193,5,0,3,0,428,218,3,0,13,11,650,1486,16,21,0,4,88,52,0,0
21750,0,5,327,198,0,0,0,3,910,534,13,3,11,3,872,514,15,6,16,16,1085,2213,9,27,3,0,116,78,0,0
21830,0,0,205,117,0,0,3,0,693,340,3,3,3,3,572,330,9,3,6,8,705,1593,10,13,0,3,93,50,0,0
21890,25,16,8381,6023,28,14,63,38,14062,11553,47,35,44,21,5523,4757,28,23,75,59,3876,7870,31,64,6,8,497,334,3,3
22110,4,3,751,439,7,0,12,12,1909,1054,12,6,26,10,1941,1194,14,5,63,77,2206,5150,24,59,13,3,348,147,0,3
22170,13,10,2665,1750,10,3,41,17,6846,4453,31,14,53,33,6624,4398,21,20,88,115,7262,14632,55,106,12,6,838,409,5,5
22250,0,0,92,55,0,0,0,0,382,162,3,3,4,5,357,181,0,0,12,13,486,1120,3,11,3,0,79,29,0,3
22310,8,7,8474,7148,28,19,23,13,16410,14521,52,35,8,10,6322,4763,36,24,15,12,3180,6473,15,34,0,0,366,206,5,4
22410,3,0,252,134,8,0,4,5,717,367,6,3,11,10,741,375,7,0,26,23,1020,2188,7,20,3,4,155,81,0,3
22490,3,3,451,267,5,0,10,3,1058,587,4,6,3,4,932,633,0,7,11,17,1142,2718,11,17,0,0,147,70,4,0
22620,25,8,2673,1713,13,13,46,14,6169,3846,44,18,58,21,4251,2940,18,26,92,134,5683,11222,34,106,18,10,725,382,4,4
22670,4,0,2974,2812,3,4,6,9,7633,7084,24,31,21,6,5380,5271,37,30,24,29,4557,9197,31,74,7,3,659,457,3,3
22750,23,13,6045,4493,19,13,65,37,14673,10284,69,39,72,40,10565,7437,65,52,153,178,11639,22540,75,166,28,9,1262,712,7,3
22830,10,3,1116,744,7,4,41,14,2690,1586,17,9,70,31,2375,1451,24,5,127,115,2795,5689,16,39,19,7,371,193,4,0
22910,3,7,545,369,0,6,3,3,979,635,4,3,4,0,795,499,4,7,10,11,618,1481,11,19,0,0,74,61,3,0
22980,0,0,74,36,0,0,3,0,214,106,3,0,0,0,228,96,0,0,3,5,260,534,3,7,0,0,46,27,0,0
23110,11,8,3576,2646,13,7,12,14,6977,5617,23,22,24,5,3584,2875,17,18,22,43,2757,6743,13,54,3,3,337,183,0,0
23190,0,0,384,206,0,0,3,4,996,471,6,3,14,7,855,507,7,0,4,22,1003,2021,8,14,3,4,137,75,3,0
23270,12,4,3610,2910,16,8,27,5,8999,6983,41,25,39,29,7779,5840,46,30,81,117,7653,15410,48,103,17,3,1004,606,9,5
23350,3,0,490,285,7,5,12,4,982,537,6,5,11,0,786,490,3,0,14,9,791,1757,12,18,3,0,97,59,0,0
23430,3,17,5461,4244,15,8,30,15,12202,9411,46,31,24,15,7254,5796,38,35,31,52,5148,12207,29,65,3,0,620,374,3,0
23670,3,4,4540,3895,21,8,7,13,11041,8787,38,29,22,11,7449,5570,28,18,43,94,6524,14406,31,103,8,3,711,417,3,3
23810,6,14,1068,709,3,0,9,12,2940,1699,16,11,29,17,2630,1745,10,9,62,80,3967,8938,30,80,15,7,543,258,4,0
23940,0,0,97,38,0,0,0,0,275,135,3,0,5,0,255,157,0,3,6,7,308,784,5,15,0,0,59,16,0,0
24130,3,0,1542,1105,16,8,8,10,3183,2157,24,7,11,8,2163,1613,13,12,21,26,1833,4733,16,43,0,0,271,102,0,0
24210,0,0,4999,4934,23,14,10,4,11272,10158,46,39,6,11,5194,4245,27,19,21,26,2809,6654,17,39,0,0,369,188,0,0
24250,0,0,196,119,0,0,0,0,467,266,8,0,3,0,409,228,4,0,9,6,370,1139,0,8,0,0,58,24,0,0
24330,24,14,4190,3563,10,15,18,21,8174,7379,33,27,9,24,3079,3006,11,13,13,28,2078,4106,10,31,0,4,270,203,0,0
24410,15,3,3786,3079,14,7,19,16,8478,6269,28,17,20,9,5498,4109,17,18,31,41,4602,9923,18,52,3,0,499,281,3,0
24600,11,18,10125,8679,35,22,39,36,19675,18270,89,86,16,12,4667,4390,21,28,31,28,1947,3151,8,24,3,0,295,198,3,7
24650,8,5,2421,1908,10,13,18,9,7034,4850,33,12,51,19,5325,3872,31,16,92,89,6037,11453,35,73,15,4,739,378,8,9
24780,14,3,690,388,4,3,29,11,2163,1209,15,4,46,17,1865,1138,16,4,105,102,2532,4901,18,50,32,10,373,206,3,3
24850,8,0,615,403,3,0,8,0,1557,839,3,4,20,12,1718,1043,21,4,37,61,2072,4650,18,46,4,5,292,140,3,4
24900,0,0,358,158,0,0,7,7,1009,513,6,3,13,6,1070,616,8,9,21,43,1427,3084,10,31,3,3,196,90,0,0
24970,7,9,9188,9431,13,22,17,10,18035,16611,50,51,14,7,7789,6499,38,29,19,31,3996,8918,28,54,0,0,535,317,0,3
25060,14,8,5378,4261,13,14,31,12,11284,9158,39,30,16,18,4776,3908,27,21,20,38,3043,7677,15,45,3,0,400,255,3,0
25150,3,0,720,419,3,3,6,7,1545,877,7,6,16,9,1403,881,9,4,16,36,1546,3591,8,21,0,0,182,88,0,0
25250,43,9,9149,7141,24,26,64,37,15880,13417,51,45,34,21,5990,5328,37,18,34,62,4119,9364,35,78,7,8,508,355,0,3
25340,15,4,3750,2732,15,11,28,23,9042,6395,34,29,50,24,7989,5483,54,29,71,118,7198,16665,41,130,11,3,878,428,4,3
25430,4,3,837,523,4,3,7,3,1308,851,17,7,3,5,861,551,9,8,7,8,671,1709,4,26,3,0,96,46,0,0
25490,3,3,342,177,0,0,5,0,878,452,3,4,0,3,732,438,10,6,12,11,794,1651,8,20,3,3,96,51,0,0
25620,0,0,271,179,0,0,7,0,654,382,3,3,11,4,623,430,11,6,4,18,670,1726,8,17,8,0,80,39,0,0
25710,9,0,2597,2050,10,10,9,10,5260,3985,29,10,13,9,2969,2365,21,13,10,22,2079,5923,16,37,0,0,246,116,0,0
25810,0,0,139,90,0,3,3,0,483,238,0,0,3,0,435,254,6,4,10,10,520,1182,0,13,0,0,87,57,0,0
25900,23,8,7401,5785,19,17,25,23,13556,11871,48,36,12,14,4648,3778,21,12,27,34,2440,4647,14,31,3,0,283,235,0,3
25990,0,0,104,51,0,0,0,0,278,141,0,0,10,0,300,158,3,3,3,8,291,719,0,3,3,0,40,33,0,0
26080,0,0,148,114,0,0,0,0,294,216,3,0,0,0,189,139,4,3,0,0,68,175,0,0,0,0,11,3,0,0
26170,0,3,559,298,3,0,8,3,1347,765,9,3,7,6,1210,714,7,3,12,29,1432,3288,9,24,0,3,183,90,0,0
