lgacode21,arthritis_indig_f,arthritis_indig_m,arthritis_non_indig_f,arthritis_non_indig_m,arthritis_indig_stat_notstated_f,arthritis_indig_stat_notstated_m,asthma_indig_f,asthma_indig_m,asthma_non_indig_f,asthma_non_indig_m,asthma_indig_stat_notstated_f,asthma_indig_stat_notstated_m,cancer_indig_f,cancer_indig_m,cancer_non_indig_f,cancer_non_indig_m,cancer_indig_stat_notstated_f,cancer_indig_stat_notstated_m,dementia_indig_f,dementia_indig_m,dementia_non_indig_f,dementia_non_indig_m,dementia_indig_stat_notstated_f,dementia_indig_stat_notstated_m,diabetes_indig_f,diabetes_indig_m,diabetes_non_indig_f,diabetes_non_indig_m,diabetes_indig_stat_notstated_f,diabetes_indig_stat_notstated_m,heartdisease_indig_f,heartdisease_indig_m,heartdisease_non_indig_f,heartdisease_non_indig_m,heartdisease_indig_stat_notstated_f,heartdisease_indig_stat_notstated_m,kidneydisease_indig_f,kidneydisease_indig_m,kidneydisease_non_indig_f,kidneydisease_non_indig_m,kidneydisease_indig_stat_notstated_f,kidneydisease_indig_stat_notstated_m,lungcondition_indig_f,lungcondition_indig_m,lungcondition_non_indig_f,lungcondition_non_indig_m,lungcondition_indig_stat_notstated_f,lungcondition_indig_stat_notstated_m,mentalhealth_indig_f,mentalhealth_indig_m,mentalhealth_non_indig_f,mentalhealth_non_indig_m,mentalhealth_indig_stat_notstated_f,mentalhealth_indig_stat_notstated_m,stroke_indig_f,stroke_indig_m,stroke_non_indig_f,stroke_non_indig_m,stroke_indig_stat_notstated_f,stroke_indig_stat_notstated_m,other_indig_f,other_indig_m,other_non_indig_f,other_non_indig_m,other_indig_stat_notstated_f,other_indig_stat_notstated_m
11750,28,22,163,130,0,0,49,28,164,113,0,0,12,3,50,41,0,0,0,0,20,11,0,0,19,23,71,111,0,0,10,7,59,94,0,0,9,4,14,12,0,0,9,8,23,32,0,0,40,17,117,92,0,0,3,3,16,17,0,0,16,15,101,97,0,0
11800,226,136,5498,3513,98,47,377,258,3465,2555,35,22,44,30,1426,1479,25,14,16,11,396,317,57,23,127,107,1443,1806,29,19,76,75,1607,2420,45,36,31,25,400,436,11,10,65,56,1126,1030,16,15,420,322,4541,3091,65,33,33,12,405,484,14,14,243,213,3537,2776,65,32
12000,21,4,295,206,4,0,22,21,280,211,0,0,0,3,83,78,0,0,0,0,24,12,0,0,9,6,125,136,0,0,3,4,79,123,0,0,0,0,27,16,0,0,3,5,74,58,0,0,31,18,206,158,3,5,0,0,25,17,0,0,26,10,182,145,4,0
12150,61,42,147,108,3,0,145,85,120,93,0,0,17,10,48,39,0,0,5,0,21,11,0,0,54,64,61,76,6,0,21,41,59,80,0,0,11,8,14,19,0,0,27,13,23,34,0,0,83,53,96,70,0,0,9,3,11,14,0,0,36,33,80,69,5,4
12160,43,32,911,614,9,10,69,66,581,451,6,5,6,9,223,282,0,3,5,0,67,55,4,0,24,29,325,411,0,5,16,16,255,405,4,3,9,7,100,85,0,0,11,14,185,178,6,6,66,55,599,421,6,4,5,3,72,108,0,0,23,29,410,334,0,4
12350,49,34,945,640,12,5,90,67,631,455,6,4,16,7,239,233,0,0,4,0,89,63,0,0,25,33,329,414,5,9,12,19,237,372,3,5,4,4,69,71,0,3,18,14,187,197,0,6,109,67,689,499,0,3,5,3,53,79,0,0,33,67,516,433,8,3
12380,88,50,7938,4075,55,31,152,97,5841,5085,29,27,23,19,1989,1567,13,12,0,3,721,487,6,7,56,41,5678,6644,36,18,29,36,2518,4020,23,27,8,9,763,907,12,10,32,26,1023,1110,11,4,145,88,5770,3913,30,13,8,15,619,812,3,7,83,85,7616,6553,28,24
12390,379,249,2902,1847,42,17,706,577,2465,1785,27,16,100,62,741,647,11,3,19,24,226,146,12,12,276,242,1082,1324,28,14,166,200,909,1238,17,22,60,68,250,245,0,0,130,100,534,449,4,4,676,503,2514,1604,31,17,37,32,203,264,6,6,347,346,1951,1470,21,15
12700,31,32,630,456,11,4,61,44,512,376,9,4,3,7,166,182,3,0,0,5,38,29,0,9,16,16,191,273,5,0,13,18,154,294,0,6,4,5,51,46,0,0,8,12,80,97,0,0,68,50,509,359,5,5,3,6,35,55,4,0,24,23,348,328,6,8
12730,18,12,597,406,4,4,34,26,444,333,3,3,8,4,126,145,4,6,0,0,40,49,4,0,17,16,194,253,0,0,10,9,181,242,5,0,0,4,45,42,0,0,7,3,107,106,0,0,41,27,455,313,0,3,5,0,41,57,0,0,21,20,318,286,5,3
12750,129,77,3577,2480,44,28,210,143,1895,1327,8,11,26,23,963,976,10,3,11,8,270,194,10,11,79,75,940,1260,5,10,50,68,857,1532,14,11,24,26,317,300,7,0,43,41,593,599,5,4,232,153,2282,1612,17,13,20,14,262,327,4,4,116,96,1970,1646,15,18
12850,98,52,9517,5022,67,32,143,97,5654,5217,32,24,18,13,2078,1801,17,9,5,6,1072,776,8,8,61,44,6875,7172,43,32,38,40,2970,4338,20,21,8,13,942,1067,9,7,27,21,942,1180,11,10,150,91,5787,4089,44,31,10,10,846,1142,4,6,95,75,9464,7939,35,28
12870,18,12,1084,722,20,7,25,24,756,524,8,3,6,6,261,299,7,3,0,0,49,53,6,0,8,16,349,454,8,6,3,14,305,503,3,14,0,9,74,99,3,4,3,5,207,211,0,0,27,21,731,479,7,6,0,0,72,101,6,3,16,17,506,392,10,3
12900,56,39,610,397,7,0,85,64,403,298,3,3,9,8,168,175,0,0,9,4,40,38,0,0,36,28,229,287,3,0,25,28,185,251,0,0,7,6,58,51,0,0,20,19,99,105,3,0,100,68,431,268,3,5,8,12,30,46,0,0,53,40,289,224,0,7
12930,52,34,6068,3151,37,17,87,60,4020,3682,15,10,18,12,1946,1786,9,9,5,4,721,461,6,6,31,23,3031,3617,13,12,13,19,2147,3213,22,15,5,5,533,667,4,0,14,9,719,689,4,9,107,60,4405,2804,16,15,10,3,520,610,3,6,53,34,6012,4720,29,13
12950,35,23,283,167,9,4,55,40,181,121,10,0,10,9,71,77,0,0,0,4,14,12,0,0,19,17,76,113,0,0,12,20,83,130,3,0,3,7,18,22,0,0,7,9,35,40,0,0,39,32,165,106,0,3,4,5,20,25,0,0,26,23,139,143,7,0
13010,33,36,699,455,10,5,67,44,428,318,7,3,5,11,183,170,3,6,9,0,51,30,0,0,21,25,218,282,4,3,21,19,211,294,3,3,7,0,47,57,0,0,12,6,134,149,0,0,71,53,524,336,5,0,9,3,57,78,0,0,33,31,407,353,3,5
13310,76,54,2414,1520,25,18,156,109,1743,1230,10,10,19,23,540,539,0,9,0,0,201,125,3,0,38,36,848,982,10,12,22,33,643,917,6,9,10,14,280,241,4,0,29,31,440,407,4,3,167,95,1868,1253,9,10,8,12,165,183,0,0,81,68,1584,1158,10,10
13340,14,12,687,482,4,0,35,26,578,495,4,6,4,0,167,208,0,0,0,0,42,30,0,0,10,11,221,314,5,0,8,6,185,344,0,0,3,0,58,59,0,0,0,3,102,126,0,0,34,26,535,395,5,0,3,0,50,68,4,0,22,22,393,371,4,3
13450,65,27,1308,736,17,9,140,105,1243,1024,9,3,11,10,368,311,0,4,4,0,106,68,7,6,58,40,529,636,4,10,16,27,303,514,4,4,11,3,94,82,0,0,20,13,178,181,5,5,106,75,1049,678,0,10,0,0,110,127,0,0,48,47,778,661,9,12
13550,90,53,674,408,10,8,157,129,526,431,6,11,23,18,194,166,0,0,3,0,46,40,3,4,66,47,266,287,7,3,39,42,197,290,6,5,13,15,73,53,3,0,28,16,144,136,5,0,142,95,490,301,12,8,10,13,54,62,5,0,76,63,398,316,3,5
13660,21,21,350,253,3,3,41,26,232,186,0,0,0,0,103,83,0,0,0,0,32,26,0,0,4,18,140,144,0,9,7,10,89,143,0,3,0,0,26,22,0,0,5,8,77,62,0,0,42,27,223,132,0,4,3,6,35,54,0,0,20,19,203,159,5,0
13800,149,76,3601,2240,28,13,262,204,2968,2276,18,11,30,30,1029,893,3,3,6,4,267,175,3,6,69,72,1337,1718,6,15,57,45,1026,1532,8,12,12,11,306,305,4,3,44,37,576,585,3,0,269,177,3546,2238,14,15,8,15,266,284,7,0,166,142,2857,2292,13,18
13850,14,8,167,103,0,0,25,25,167,102,0,5,0,3,43,49,0,0,0,0,21,14,0,0,10,14,63,89,6,0,0,11,52,91,0,0,0,7,19,13,0,0,0,3,42,38,0,3,25,21,124,70,0,5,0,0,9,18,0,0,9,15,69,73,0,0
13910,76,42,1433,952,26,12,114,80,1032,779,12,15,15,11,312,340,0,3,0,3,109,102,0,0,29,28,490,579,9,6,21,11,357,568,6,12,12,0,93,139,0,4,23,8,266,286,4,3,103,57,986,668,14,5,8,4,102,134,3,4,55,39,738,620,4,11
14000,30,33,6817,3564,31,16,62,56,5468,4936,13,8,11,9,2388,1960,7,7,0,3,790,493,5,7,18,17,2721,3493,17,17,5,17,2158,3431,13,10,3,0,478,596,0,4,11,12,818,721,5,3,70,46,5818,3849,17,18,3,6,436,585,0,6,39,44,6862,5469,15,13
14100,0,7,691,374,0,0,5,7,435,424,0,4,0,0,248,222,0,0,0,0,69,47,0,0,0,0,149,251,0,0,0,0,213,341,5,0,0,0,34,35,0,0,4,0,78,79,0,0,3,5,465,311,6,0,0,0,51,55,0,0,0,5,557,410,0,0
14170,101,70,7165,3705,43,29,225,115,7560,6607,18,18,24,17,2443,2008,9,8,8,8,861,555,5,4,87,53,2756,3200,6,27,34,48,1916,3023,14,28,13,13,570,617,0,4,37,8,941,952,4,12,255,169,11465,7092,27,37,11,15,520,661,4,4,129,100,8837,6382,27,23
14220,92,55,1158,820,18,4,148,114,792,630,9,9,30,15,274,259,0,4,0,3,78,54,0,0,76,67,414,499,3,3,38,48,324,485,3,4,11,10,74,80,0,0,25,24,218,215,0,0,135,99,765,576,9,6,8,6,91,80,0,3,76,87,654,528,3,8
14300,20,9,425,335,5,6,46,29,323,268,5,0,4,0,83,120,0,0,0,0,24,28,0,0,14,6,160,174,4,3,3,3,106,166,0,4,0,3,34,28,0,0,8,4,82,82,0,0,24,21,264,197,8,0,3,0,33,33,0,0,14,18,198,172,6,4
14350,176,106,2316,1667,30,31,340,213,1434,1024,15,10,42,24,567,649,8,4,21,10,204,142,9,0,158,130,726,929,9,6,82,107,628,997,12,16,52,31,204,190,3,0,81,62,510,484,12,11,327,247,1693,1204,21,16,26,21,216,268,8,4,180,169,1278,1127,17,21
14400,28,20,1627,1017,15,7,41,24,1027,773,5,0,5,10,466,474,3,0,0,0,140,95,5,6,19,10,389,513,0,5,11,13,427,752,8,10,7,3,137,138,7,0,3,5,205,209,3,0,43,30,1074,678,11,4,4,4,108,136,0,0,35,26,1106,843,4,11
14500,20,3,5097,2628,31,21,12,21,3946,3900,9,4,4,7,2110,1780,8,7,0,0,688,422,0,3,11,4,1612,2301,4,7,6,5,1803,3028,10,17,0,6,322,448,3,3,3,7,594,528,6,4,31,14,3931,2356,12,9,0,4,383,422,0,0,21,21,5083,4108,10,13
14550,24,15,647,471,5,6,41,26,455,328,3,0,0,7,117,193,0,3,0,0,50,45,0,0,13,16,193,243,3,0,10,10,191,296,0,0,0,6,68,58,0,0,10,9,140,166,0,0,36,24,479,406,4,0,0,0,46,61,0,0,34,27,431,408,4,0
14600,50,28,347,253,0,3,116,77,254,210,0,5,13,10,75,87,0,0,4,8,24,15,0,0,49,49,119,167,3,4,31,24,116,131,0,0,9,12,20,36,0,0,19,8,41,63,0,0,71,49,178,117,0,0,4,3,26,31,3,0,42,33,146,133,0,0
14650,495,319,15251,9141,169,75,1008,869,11251,8556,81,43,113,84,3908,3847,39,30,22,16,1339,979,44,25,281,293,5215,6107,59,44,171,203,4643,6516,80,75,77,66,1349,1263,31,11,151,134,2526,2390,45,21,1218,830,14182,9240,101,74,59,53,1206,1339,28,24,561,565,10663,7924,96,50
14700,4,0,1259,760,5,3,9,7,1433,1330,3,0,5,0,566,426,6,3,0,0,87,55,0,0,6,5,402,567,0,3,4,3,365,645,3,0,3,0,87,130,0,0,0,0,174,159,0,0,8,10,1491,1023,5,4,0,0,82,113,0,0,9,4,1546,1200,4,6
14750,38,24,653,412,6,5,93,63,631,495,7,4,0,3,144,146,0,0,0,4,57,40,0,0,27,23,223,278,0,6,13,15,152,260,0,0,3,3,64,55,0,0,15,14,135,130,0,0,80,49,564,367,6,7,0,4,44,52,0,0,48,35,375,321,3,4
14850,92,68,2626,1641,24,9,220,156,2289,1715,11,7,21,16,768,750,5,3,3,5,185,114,0,3,75,72,801,1013,7,15,46,54,803,1191,5,10,19,13,247,238,6,0,40,30,554,539,5,6,226,198,2986,2054,21,14,7,10,239,287,3,0,140,132,2143,1735,6,9
14870,84,60,1644,1086,11,8,152,106,1022,729,5,3,16,13,328,379,5,4,4,3,109,82,0,5,30,48,584,711,3,15,25,28,449,618,5,13,6,11,98,96,4,0,31,31,266,289,5,4,133,111,1183,772,12,8,8,9,110,132,0,0,63,78,882,707,9,8
14900,183,112,9046,4726,91,43,378,240,7520,6500,44,27,46,35,2105,1660,11,9,0,3,619,446,3,0,125,79,5999,6853,40,42,74,69,2573,4224,25,30,36,25,849,994,14,4,65,49,1102,1132,21,11,382,231,6854,4555,25,23,35,12,724,1046,0,9,191,171,8794,7505,41,38
14920,55,36,460,339,7,0,87,59,330,257,3,3,13,21,89,109,0,0,5,0,32,20,0,0,51,47,154,255,3,0,15,29,117,214,0,3,12,11,38,53,0,0,30,22,73,77,0,0,76,63,285,196,4,3,9,8,29,49,0,0,52,33,232,177,5,3
14950,12,10,267,170,10,3,18,9,198,162,0,0,4,0,49,68,0,0,0,0,36,16,0,0,0,5,68,93,0,0,0,6,70,91,0,0,0,0,15,20,0,0,4,6,51,44,3,0,24,9,191,128,0,0,0,3,24,29,7,0,8,5,135,125,0,0
15050,290,162,5553,3289,32,11,638,507,5069,3674,19,19,50,26,1295,1180,11,10,11,7,316,227,21,6,177,137,2137,2481,26,11,93,108,1592,2095,17,14,39,24,461,426,7,3,86,61,956,834,8,7,732,504,6582,3988,43,27,35,22,427,419,9,11,362,317,4207,3171,39,22
15240,358,218,8612,5853,101,79,615,472,5059,3438,67,48,80,74,2021,2421,33,19,22,23,821,612,11,12,207,193,2602,3341,37,39,132,143,2422,3738,44,40,42,44,776,808,16,12,109,88,1514,1629,27,19,626,488,5701,4103,55,54,33,43,714,892,9,15,336,298,4423,3557,42,45
15270,65,62,1494,980,22,9,134,121,1156,937,15,9,17,14,350,375,4,10,0,4,109,66,4,3,44,42,501,657,9,4,16,48,423,715,10,10,0,7,108,155,3,3,22,24,306,354,4,4,124,113,1250,838,18,18,6,7,114,143,10,0,80,93,895,778,3,12
15300,104,56,400,307,6,3,156,109,433,353,5,3,27,15,133,127,0,0,8,10,31,28,0,0,121,96,172,230,7,3,52,57,122,219,4,0,24,23,38,43,0,0,43,23,80,94,0,0,116,80,355,213,6,0,0,19,40,47,0,0,77,61,253,230,4,3
15350,0,3,1305,598,8,7,4,3,1029,868,3,0,0,0,550,474,5,0,0,0,160,107,0,0,0,0,278,333,0,0,0,0,441,666,3,3,0,0,81,90,0,0,0,0,172,122,3,3,3,8,1109,536,4,3,0,0,115,113,0,0,4,7,1096,740,0,0
15520,18,10,889,664,19,11,38,26,587,497,7,6,10,0,258,258,5,7,0,0,57,44,6,0,7,12,278,396,5,9,11,14,269,377,8,3,5,3,81,86,0,0,5,7,145,152,4,0,41,21,571,374,7,5,6,4,64,82,0,3,19,14,386,351,19,11
15560,23,11,220,154,0,0,36,15,197,191,4,3,5,4,41,71,0,0,0,4,3,7,0,0,10,11,81,87,0,0,9,3,43,97,0,0,0,6,15,23,0,0,3,0,42,64,0,0,22,12,130,100,0,0,4,0,8,25,0,0,14,14,83,94,0,0
15650,96,40,896,540,10,10,169,159,800,637,5,0,17,5,213,200,4,0,0,0,56,30,0,0,51,42,394,438,0,0,20,41,244,348,4,4,7,8,90,72,3,0,20,15,171,168,0,0,171,125,887,569,4,0,7,5,51,87,0,0,80,91,557,436,7,4
15700,90,54,1704,1166,28,8,126,88,1029,657,15,5,20,17,458,507,11,4,5,3,142,113,4,0,81,54,470,584,7,4,37,45,494,805,3,8,9,7,138,170,0,3,38,21,442,447,11,3,126,114,1184,870,15,9,3,8,115,152,0,4,62,86,919,822,13,11
15750,82,50,675,465,15,9,168,140,543,480,9,14,19,17,179,174,4,0,7,3,69,38,0,4,72,61,238,322,8,8,28,62,196,298,6,9,12,18,68,61,4,3,32,23,140,108,0,3,107,74,468,283,9,3,9,15,49,64,0,3,72,62,387,282,10,0
15800,33,22,389,231,0,4,51,57,297,240,0,4,10,6,78,96,0,0,0,0,38,31,0,0,22,21,138,153,0,0,15,21,101,163,0,4,4,8,33,36,0,0,18,7,87,82,0,4,35,39,240,189,4,0,4,3,23,31,0,0,35,32,199,180,0,0
15850,62,35,335,224,5,3,96,81,238,196,0,3,16,8,98,89,3,5,0,5,13,12,0,0,42,33,108,144,0,0,28,31,105,161,0,0,10,0,30,21,0,0,24,14,66,68,3,0,75,68,196,133,0,0,11,0,18,28,0,0,54,47,133,126,0,0
15900,370,216,9541,5605,91,49,648,541,8286,6652,51,23,89,64,2362,2349,24,17,8,16,944,672,41,24,196,173,3396,3916,31,38,116,141,2814,4038,42,29,34,38,927,822,17,3,101,85,1585,1383,21,17,866,628,11988,7529,74,43,37,29,792,851,9,7,379,332,8176,5928,82,62
15950,9,18,2465,1359,10,9,16,10,2567,2249,9,0,6,4,1113,899,7,3,0,0,173,110,3,0,3,5,670,969,0,0,0,3,823,1331,8,0,4,0,183,227,0,0,0,3,400,285,3,0,29,14,2978,1767,4,6,0,0,193,234,0,0,16,15,2860,1970,14,11
