lgacode16,did_not_go_to_school_indig_f,did_not_go_to_school_indig_m,did_not_go_to_school_non_indig_f,did_not_go_to_school_non_indig_m,did_not_go_to_school_indig_stat_notstated_f,did_not_go_to_school_indig_stat_notstated_m,y8_below_indig_f,y8_below_indig_m,y8_below_non_indig_f,y8_below_non_indig_m,y8_below_indig_stat_notstated_f,y8_below_indig_stat_notstated_m,y9_equivalent_indig_f,y9_equivalent_indig_m,y9_equivalent_non_indig_f,y9_equivalent_non_indig_m,y9_equivalent_indig_stat_notstated_f,y9_equivalent_indig_stat_notstated_m,y10_equivalent_indig_f,y10_equivalent_indig_m,y10_equivalent_non_indig_f,y10_equivalent_non_indig_m,y10_equivalent_indig_stat_notstated_f,y10_equivalent_indig_stat_notstated_m,y11_equivalent_indig_f,y11_equivalent_indig_m,y11_equivalent_non_indig_f,y11_equivalent_non_indig_m,y11_equivalent_indig_stat_notstated_f,y11_equivalent_indig_stat_notstated_m,y12_equivalent_indig_f,y12_equivalent_indig_m,y12_equivalent_non_indig_f,y12_equivalent_non_indig_m,y12_equivalent_indig_stat_notstated_f,y12_equivalent_indig_stat_notstated_m
13310,3,3,46,72,3,0,25,27,569,658,7,11,45,34,895,932,13,14,96,89,3403,3468,44,42,31,32,658,653,5,4,107,84,4353,3812,39,35
13340,0,4,5,11,0,0,3,7,180,265,3,3,12,11,289,392,4,3,26,29,1034,1244,10,20,6,4,355,340,7,4,29,16,1490,1135,5,11
13450,3,0,139,137,6,3,39,36,690,745,16,19,58,50,618,628,9,8,134,150,2540,2820,33,33,39,35,539,586,3,8,82,54,3575,3078,18,30
13510,0,0,16,12,0,0,16,23,287,333,8,4,30,10,392,405,6,7,60,46,1354,1476,24,19,17,18,271,251,4,4,47,45,1504,1181,22,8
13550,3,7,13,16,0,0,47,46,210,328,4,3,65,50,329,384,4,11,168,148,1298,1456,15,16,43,35,254,241,6,3,123,85,1584,1252,13,3
13660,0,0,3,10,0,0,5,9,141,214,3,7,12,16,162,181,0,4,26,26,576,619,11,10,7,10,109,104,0,0,23,17,698,523,9,9
13800,5,3,74,97,3,0,56,40,896,1052,10,7,80,94,1637,1805,12,12,242,262,7475,8271,63,57,75,64,1427,1584,13,0,245,190,10911,8777,72,42
13850,0,0,0,5,0,0,5,10,77,109,0,0,9,8,81,101,3,4,10,19,259,301,3,3,3,9,88,108,0,3,13,18,423,305,3,3
13910,4,0,30,45,0,0,23,30,421,524,17,10,37,31,612,674,10,5,88,79,2074,2315,22,26,23,23,514,404,5,4,53,44,2575,1929,18,15
14000,0,3,364,277,5,3,11,4,1094,816,14,5,15,12,1573,1257,11,9,52,61,8020,6875,52,53,10,15,1805,1859,14,5,118,93,39895,37935,173,162
14100,0,0,32,18,0,0,0,0,143,82,0,0,3,0,158,103,0,0,5,3,682,429,4,3,0,3,154,155,0,0,11,13,3826,3661,25,29
14170,6,8,1202,771,15,4,56,52,3323,2529,37,25,64,39,1445,1408,15,16,196,145,6588,6930,50,46,52,49,2048,2381,9,11,404,363,55196,50605,202,170
14200,3,0,21,16,0,0,35,54,354,493,11,3,78,67,527,553,9,6,137,112,1883,1894,26,23,45,33,344,320,3,4,111,79,2163,1686,20,14
14300,3,0,10,4,0,0,7,9,107,122,5,4,11,8,172,196,6,0,22,24,600,710,5,10,7,4,130,135,0,6,20,19,718,568,5,5
14350,11,11,21,30,0,0,111,102,712,818,19,12,149,115,1087,1154,16,28,306,253,3495,3406,41,39,103,80,550,629,14,12,225,176,3144,2688,28,26
14400,0,0,16,20,0,0,9,3,266,264,0,3,5,14,532,467,4,3,35,46,2345,2154,28,22,7,6,436,473,9,10,57,57,4323,4061,36,30
14500,0,0,199,132,5,0,0,0,530,313,4,3,3,0,826,499,6,3,12,9,4151,2475,33,16,4,0,1431,1043,9,0,47,57,36786,34416,127,110
14550,0,0,9,10,0,0,15,22,212,276,4,4,16,20,258,327,3,8,44,35,1083,1216,25,26,11,13,224,227,3,3,35,18,1155,993,11,8
14600,5,7,7,14,0,0,38,43,113,171,3,0,39,36,161,187,0,3,105,91,522,668,3,9,46,25,127,100,0,0,97,59,757,564,3,7
14650,13,21,199,206,6,5,151,173,3458,3232,45,38,293,284,7456,6338,65,66,859,825,24712,23928,181,153,222,249,4093,4835,30,27,800,642,31671,27996,151,125
14700,0,0,57,45,0,0,0,0,164,136,3,0,0,3,232,140,0,3,4,6,1238,883,7,7,6,0,376,352,0,3,22,18,11608,10974,21,31
14750,0,0,17,23,0,0,14,22,218,335,5,5,25,15,320,347,0,3,51,75,1306,1406,11,19,17,22,259,242,0,0,38,35,1281,1034,13,6
14850,3,6,45,54,0,0,44,48,780,795,7,6,61,84,1029,1148,15,11,217,203,4880,4540,54,33,57,43,1011,957,6,6,233,196,7265,6369,50,53
14870,0,3,17,28,0,0,36,38,458,513,9,15,52,44,741,700,12,3,115,127,2566,2878,31,29,29,32,480,477,7,4,98,79,2593,2059,32,27
14900,3,10,2434,1644,18,4,60,88,5110,4131,65,34,133,129,3522,3263,29,29,299,236,12741,14165,114,99,83,80,2995,3562,24,41,329,218,41424,38753,221,179
14920,3,0,7,13,0,0,22,40,133,236,7,6,47,44,253,252,3,3,97,110,860,917,14,9,31,21,171,160,3,3,74,67,893,707,6,13
14950,0,0,3,3,0,0,3,7,52,102,0,0,4,6,92,109,0,0,16,11,358,423,3,6,0,3,80,80,0,0,5,10,415,311,8,7
15050,3,7,67,74,0,0,72,95,1199,1118,21,16,135,131,2621,2236,19,23,439,392,9209,9249,74,64,120,117,1754,1976,19,14,380,289,11756,9765,59,61
15240,12,5,81,102,6,6,155,202,2113,2432,34,33,277,249,3988,3753,52,47,562,487,12530,11810,148,125,157,131,2065,2064,25,34,409,350,11293,9875,102,83
15270,3,0,21,30,3,0,18,41,462,588,12,13,51,42,711,749,20,10,127,152,2578,2920,39,47,37,38,534,591,6,9,112,85,3357,2644,27,28
15300,11,18,15,22,0,0,93,117,154,293,3,11,153,159,214,321,0,9,306,240,962,1193,5,24,114,86,239,229,3,0,202,150,1654,1320,22,14
15350,0,0,17,24,0,0,0,0,85,54,0,0,0,0,185,106,0,3,3,4,1053,539,9,3,3,3,443,255,3,0,17,17,9421,8196,34,37
15520,3,3,6,17,0,0,15,16,289,384,8,3,22,12,382,511,3,3,33,32,874,1112,8,13,16,9,749,707,5,11,35,19,1682,1263,18,11
15560,0,0,3,0,0,0,12,17,84,130,0,5,7,6,102,140,0,0,41,25,319,436,3,6,5,8,119,111,0,0,23,22,475,377,4,5
15650,3,0,9,19,3,0,25,27,293,321,3,9,75,61,514,517,9,4,132,142,1764,2054,19,25,34,43,397,441,6,0,101,60,1893,1548,9,10
15700,3,6,14,20,0,0,46,38,412,513,10,6,64,44,811,751,15,8,149,115,2407,2374,38,39,42,34,445,437,9,4,119,93,2435,2095,25,24
15750,0,4,9,19,0,0,46,54,219,335,3,5,61,70,330,417,3,5,171,143,1267,1433,16,15,46,36,258,282,8,3,132,81,1639,1331,21,18
15800,0,0,7,17,0,3,20,27,117,172,0,3,31,29,197,198,4,0,53,56,606,662,13,11,17,18,130,143,0,0,42,17,694,522,3,3
15850,0,6,8,4,0,0,34,33,101,150,3,0,42,47,178,193,5,4,133,120,581,692,3,10,28,25,128,121,0,0,138,65,770,606,10,5
15900,9,15,315,229,3,5,97,113,2383,2077,31,15,206,191,4258,3578,37,30,569,538,14538,14430,112,112,147,152,2777,3301,17,21,771,619,32640,30613,138,124
15950,3,0,79,45,0,0,0,0,210,168,0,3,4,0,338,229,4,0,5,11,2176,1420,8,9,3,0,876,702,6,3,58,62,24448,21831,72,63
15990,3,3,386,347,0,0,12,12,1978,1619,22,24,30,37,3038,2488,34,27,93,119,16310,14115,123,81,25,28,3954,4129,30,20,257,235,66793,63207,312,270
16100,0,0,4,11,0,0,6,3,86,138,0,0,6,4,162,149,3,3,14,16,601,724,4,3,4,6,109,113,0,0,15,12,727,593,6,6
16150,4,0,59,69,8,0,64,69,750,741,12,13,123,93,1042,995,13,16,240,239,4073,4103,56,34,76,75,814,757,4,3,214,160,6920,5638,37,26
16200,0,10,12,12,0,0,33,60,293,345,3,5,45,60,428,426,6,8,161,144,1583,1682,8,19,58,26,315,299,0,3,129,85,1823,1530,15,10
16260,6,8,1193,1003,8,13,27,27,2595,2001,29,19,57,43,2708,2288,28,13,139,135,10695,9670,81,70,46,32,2443,2738,20,11,185,188,62308,61982,226,191
16350,9,21,503,382,3,4,151,143,3286,3018,40,23,226,256,4689,4640,33,38,754,736,20367,21246,156,143,212,212,3853,4434,12,24,852,619,34165,30041,161,156
16380,4,5,70,72,0,0,50,77,1468,1508,32,30,89,113,2768,2591,28,33,322,327,10118,8902,104,92,105,76,2017,1994,22,24,326,252,12154,10510,81,76
16400,3,5,70,93,0,3,61,67,1107,1165,19,15,152,132,2523,2335,29,26,339,359,8760,8712,99,75,97,95,1665,1850,12,12,290,228,9846,8824,76,56
16490,0,4,88,79,3,0,29,39,727,739,12,13,67,57,819,910,8,7,168,129,3987,4286,47,39,51,42,977,1164,11,18,221,171,12426,11610,78,82
16550,8,5,438,300,5,0,54,34,1660,1243,19,17,64,60,1371,1191,15,8,177,135,5801,5305,44,24,60,32,1635,1815,14,12,315,274,42202,39433,161,129
16610,0,5,20,38,0,0,37,44,670,718,12,21,71,72,776,942,12,12,148,149,2916,2938,38,33,37,38,540,532,9,9,128,95,2515,2041,34,27
16650,0,0,907,558,8,11,12,12,2753,2094,29,10,21,14,1422,1275,15,20,76,73,6019,5829,42,43,21,11,1425,1722,9,11,141,127,28297,27882,105,114
16700,0,5,601,404,7,0,4,0,1704,1245,18,7,10,15,1380,1074,9,13,29,29,5484,4641,36,27,7,10,1248,1287,3,15,107,84,35286,33384,107,125
16900,5,5,171,132,7,6,60,66,1510,1324,14,12,88,84,2260,1981,22,19,260,234,8749,8603,64,71,76,80,1633,1692,11,18,252,193,9619,8605,74,59
16950,11,8,87,109,4,0,123,148,1961,2121,35,28,233,231,3683,3649,53,38,508,548,12534,12054,145,98,145,153,2218,2426,26,21,449,402,14328,12603,101,96
17000,5,0,12,19,0,0,25,43,337,408,6,3,59,37,625,661,13,14,140,163,2584,2975,41,34,30,30,525,784,3,4,90,103,3134,2717,15,21
17040,0,0,27,38,0,0,15,12,315,383,7,4,15,17,436,526,4,5,49,57,1835,2189,19,28,12,7,476,495,7,5,39,52,3651,3353,24,25
17080,0,0,16,27,3,4,26,23,277,415,3,6,25,23,439,537,4,8,50,49,1652,1759,15,26,27,22,399,409,4,0,58,36,1878,1507,8,10
17100,0,0,282,195,0,0,0,8,638,455,4,0,0,8,341,284,4,3,8,12,1339,1235,13,3,3,3,319,415,3,0,29,25,11869,12401,46,43
17150,3,8,323,271,3,3,20,33,2361,1784,27,14,38,41,4270,3273,35,26,212,238,20673,19704,136,113,68,58,3365,4244,25,38,388,366,50346,46357,221,198
17200,7,10,750,579,8,10,56,57,1524,1321,12,17,105,96,1167,1349,14,14,182,190,4554,5498,30,37,68,75,2252,2942,6,26,411,465,68873,72216,294,304
17310,12,15,71,80,0,6,143,185,1030,1198,22,20,227,223,1715,1715,22,29,621,603,6516,6400,69,84,176,150,1245,1208,7,16,496,315,8696,7083,67,50
17350,0,3,8,4,0,0,3,4,170,161,0,3,3,5,238,260,4,3,18,10,833,849,7,5,0,9,131,149,3,3,13,13,748,590,8,4
17400,0,0,5,9,0,0,13,18,134,206,4,5,19,17,231,239,0,4,29,38,814,792,10,11,18,11,173,162,0,0,33,16,858,719,14,6
17420,3,0,361,290,0,0,7,10,1296,1010,9,8,18,18,1869,1635,17,9,75,81,10137,8995,71,56,20,20,2032,2293,8,17,118,105,41294,39546,136,122
17550,0,7,98,93,3,0,85,69,1822,1743,28,25,120,134,2624,2449,35,21,386,376,11001,10035,92,104,106,100,2446,2481,19,36,398,324,14781,13075,124,103
17620,0,0,14,20,0,0,9,19,261,362,4,8,22,30,426,461,9,6,78,73,1482,1766,21,18,19,20,305,289,5,3,72,50,2035,1494,14,22
17640,0,0,3,11,0,0,7,13,148,233,9,5,8,5,213,279,3,4,15,26,803,984,12,17,3,8,202,152,3,0,14,8,1224,994,12,8
17650,4,0,3,13,0,0,10,19,105,142,0,0,15,21,130,174,5,7,35,32,640,674,9,12,8,8,121,104,0,0,41,28,1049,795,3,7
17750,7,8,82,113,3,3,79,72,914,1056,14,20,152,147,1500,1542,12,14,314,286,6223,6258,44,52,107,96,1368,1562,14,12,360,267,11392,9384,61,54
17850,0,0,3,5,0,0,6,14,54,73,0,5,7,14,109,105,0,0,18,14,312,371,3,6,6,3,58,60,0,0,11,7,460,373,4,0
17900,13,18,5,20,0,0,71,94,89,175,3,6,98,88,112,179,0,0,207,163,361,522,10,7,73,63,104,102,0,3,110,81,610,588,11,8
17950,0,5,3,5,0,0,8,19,36,53,0,3,19,22,63,73,0,3,39,30,231,291,3,6,14,9,34,47,0,0,33,18,387,315,7,5
18020,0,0,4,10,0,4,35,35,195,333,0,8,33,43,291,379,4,3,86,89,1043,1090,18,15,25,27,193,165,0,0,93,64,1161,910,11,10
18050,0,5,76,63,3,4,3,3,395,296,8,8,0,7,368,332,3,4,16,24,1958,1789,19,9,3,3,717,793,7,12,58,76,21114,19461,91,66
18100,0,0,3,3,0,0,4,0,78,123,7,0,3,8,139,155,0,3,13,18,458,455,10,6,3,0,87,82,0,0,4,8,484,407,3,9
18200,4,0,5,15,0,0,26,34,152,216,4,3,48,32,189,235,4,0,55,47,463,637,11,6,26,13,336,387,4,7,26,20,857,641,8,8
18230,18,13,44,55,0,0,175,194,732,865,10,22,290,284,1119,1181,28,20,773,749,4760,5021,64,75,238,193,985,890,5,12,684,490,7409,5818,62,44
18250,0,0,261,148,3,9,0,0,643,445,5,0,4,4,547,359,10,0,10,9,2279,1717,14,9,0,6,786,662,3,5,24,33,23854,21859,81,60
18350,0,3,50,59,0,0,14,19,566,589,12,10,40,38,1186,1068,17,8,101,90,5205,4800,43,35,37,33,1120,1049,11,4,102,83,9539,8224,61,45
18400,0,5,46,60,0,3,25,28,587,684,4,16,51,33,1192,1320,8,8,149,196,5528,6437,56,74,32,33,1009,1130,12,12,204,124,7890,6166,59,49
18450,6,5,818,543,7,4,127,112,4760,3831,77,49,184,158,5439,4771,67,58,506,516,20280,20262,179,194,129,138,3684,4458,41,30,651,532,38524,36691,218,170
18500,0,0,54,43,0,0,0,0,197,143,0,0,0,0,283,208,3,0,9,5,1548,940,14,3,3,4,649,487,13,0,35,26,18448,16056,74,74
18710,0,0,7,21,0,0,12,9,157,203,0,3,14,11,236,271,0,4,37,35,1269,1290,17,14,3,15,332,342,4,0,38,39,3463,3035,28,21
19399,0,0,0,0,0,0,3,0,11,30,0,0,0,3,10,33,0,0,0,3,88,128,4,5,0,0,36,44,0,0,6,0,184,151,4,0
19499,0,7,21,32,0,0,14,33,117,243,4,5,23,48,243,376,3,9,46,98,755,1206,7,18,18,28,217,349,3,0,47,38,1895,2145,19,22
19799,0,0,0,0,0,0,0,0,11,13,0,0,0,0,22,8,0,0,0,0,48,36,3,0,0,0,12,12,0,0,3,0,69,48,0,3
20110,0,0,23,22,0,0,0,3,278,321,3,9,5,3,294,350,6,3,8,8,873,1018,9,10,4,6,795,802,3,6,6,8,2177,1700,22,13
20260,0,0,18,48,0,0,3,11,341,389,11,6,3,3,330,402,5,7,6,11,712,875,7,14,6,4,708,781,15,11,8,3,1719,1365,16,14
20570,4,10,108,132,4,3,35,36,2308,1936,43,43,48,50,2620,2772,34,33,106,78,6274,6540,87,62,82,68,5608,5284,39,58,165,129,20047,16440,138,110
20660,0,0,416,310,5,0,18,10,2679,1794,34,34,22,30,1939,1863,30,20,37,45,4835,4804,40,46,27,39,4711,4857,32,24,129,89,31348,28707,156,138
20740,0,0,47,55,0,3,5,4,872,777,15,9,10,10,1072,1193,26,15,20,22,2518,2733,37,43,11,12,2028,2041,28,24,31,30,5529,4296,48,37
20830,3,4,72,67,0,0,8,10,1140,1093,17,24,15,23,1359,1599,12,10,28,37,3356,4089,33,29,21,21,3004,2965,20,16,43,29,8434,6257,67,34
20910,0,3,161,119,3,0,4,0,1122,683,15,4,3,3,942,723,22,11,5,7,3095,2382,41,23,3,7,3513,2837,41,23,36,50,27724,25331,143,119
21010,0,0,10,15,0,0,3,3,444,377,6,4,9,9,423,463,8,9,16,9,1039,1113,7,9,9,7,963,941,14,3,23,18,2203,1716,23,16
21110,0,0,414,339,3,4,5,4,1862,1028,16,10,7,3,1092,848,18,10,9,7,3336,2603,20,17,14,10,4238,3331,30,30,73,80,53350,49098,215,226
21180,3,0,2943,2132,40,32,21,25,8250,6393,93,82,15,22,3461,3478,37,44,64,59,7662,8378,82,90,43,46,5529,6731,52,58,93,85,40472,40727,308,327
21270,0,0,5,8,0,0,3,6,194,250,4,3,3,3,190,259,0,3,0,3,413,504,9,9,4,3,408,448,3,3,4,4,877,649,7,6
21370,3,6,31,55,0,0,27,33,1044,1185,21,18,41,47,1202,1522,20,19,63,58,2804,3344,35,48,39,46,2484,2354,23,23,72,57,5203,3785,48,46
21450,0,0,145,120,4,4,16,12,1463,1477,27,19,16,30,2070,2555,24,33,35,59,5744,7086,51,55,39,37,4913,5365,35,26,104,63,17907,13757,92,76
21610,3,14,2148,1764,14,16,32,50,5932,4989,71,57,61,49,5452,5872,67,51,102,114,14443,16963,112,134,51,66,11702,12976,86,94,217,153,62248,56574,379,287
21670,0,0,16,20,0,0,8,9,488,527,17,14,7,7,539,589,11,11,11,13,1113,1242,16,23,9,5,803,766,8,0,21,12,1742,1366,26,20
21750,0,0,58,75,0,3,8,5,589,641,12,15,4,9,582,756,11,12,13,17,1385,1658,21,30,11,9,1301,1462,28,10,35,23,3419,2574,27,18
21830,0,0,14,17,0,0,3,8,438,556,12,10,6,7,488,665,7,11,6,10,1016,1287,19,17,14,0,1090,1124,17,13,16,14,2417,1723,22,18
21890,4,7,1408,951,11,12,27,40,5433,3752,57,57,37,35,1872,1841,24,17,84,69,3845,4228,40,45,41,47,3572,4194,33,38,214,164,40044,36146,183,182
22110,5,6,50,73,0,0,54,43,1147,1276,31,22,66,72,1421,1740,29,24,90,95,3541,3950,43,57,56,39,2832,2677,20,22,95,82,6928,5348,68,59
22170,6,8,231,217,0,6,23,27,2404,1964,44,27,48,30,3106,3401,43,37,92,107,8518,9534,94,81,66,62,7064,7512,52,50,184,136,27198,22450,181,150
22250,0,4,9,8,0,0,7,12,383,408,8,11,3,8,382,550,7,10,20,15,806,1042,13,7,11,7,779,721,5,4,13,8,1353,888,13,12
22310,0,0,388,305,5,8,6,0,2243,1548,28,11,3,3,1222,1122,8,9,13,9,3565,3488,26,19,8,9,3798,3541,35,19,60,53,42523,38751,173,146
22410,3,0,19,19,0,0,15,13,565,712,4,14,19,10,611,827,8,6,32,32,1488,1737,16,20,22,27,1383,1407,18,15,41,24,2750,2028,30,21
22490,0,3,12,12,0,0,3,3,301,442,3,4,5,9,489,660,11,10,14,12,1253,1812,14,13,6,12,1335,1480,9,10,21,11,3753,2883,35,30
22620,4,8,222,245,0,0,44,58,2531,2359,57,43,79,63,3043,3343,44,40,127,128,7482,8130,76,90,77,57,6035,5978,39,52,193,154,20122,15827,143,116
22670,0,3,3403,2979,23,25,18,17,6111,4855,69,55,25,15,2845,2706,32,23,31,42,5783,6564,61,61,25,27,3748,4615,31,38,64,42,31279,33255,173,230
22750,5,10,617,526,11,15,59,51,5742,4564,91,76,70,70,5767,5609,66,57,142,157,13762,13984,144,125,99,106,12807,13272,107,102,311,211,47234,39727,286,244
